condition,axe_transport,variante,jeu_items,mesure,lambda_median,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_total,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee,un_dans_ic_inter
agents demographiques (v8),profil croise,dilatation,70 items ordinaux,variance_ordinale,0.60,2.5010,2.2537,2.7636,0.9791,0.9511,1.0098,1.1234,0.4962,0.4915,0.5007,-0.0630,-0.0663,-0.0597,1.0346,0.4579,0.1800,non
agents demographiques (v8),profil croise,informee,149 items,entropie,0.30,0.8927,0.7795,0.9994,0.8012,0.7910,0.8125,0.8060,0.5277,0.5236,0.5318,-0.0315,-0.0345,-0.0283,0.8060,0.5781,0.1739,non
agents demographiques (v8),profil croise,informee,149 items,gini_simpson,0.30,0.9795,0.8526,1.0948,0.8231,0.8124,0.8354,0.8316,0.5277,0.5236,0.5318,-0.0315,-0.0345,-0.0283,0.8060,0.5781,0.1739,oui
agents demographiques (v8),profil croise,informee,70 items ordinaux,entropie,0.30,1.0601,0.9327,1.1791,0.8226,0.8117,0.8341,0.8337,0.5277,0.5236,0.5318,-0.0315,-0.0345,-0.0283,0.8060,0.5781,0.1739,oui
agents demographiques (v8),profil croise,informee,70 items ordinaux,gini_simpson,0.30,1.2095,1.0580,1.3557,0.8362,0.8247,0.8482,0.8527,0.5277,0.5236,0.5318,-0.0315,-0.0345,-0.0283,0.8060,0.5781,0.1739,non
agents demographiques (v8),profil croise,informee,70 items ordinaux,variance_ordinale,0.30,1.0099,0.8464,1.1791,0.9557,0.9258,0.9857,0.9608,0.5277,0.5236,0.5318,-0.0315,-0.0345,-0.0283,0.8060,0.5781,0.1739,oui
agents demographiques (v8),profil croise,naive,149 items,entropie,0.30,0.8927,0.7955,0.9894,0.8012,0.7921,0.8111,0.8060,0.5203,0.5168,0.5238,-0.0389,-0.0417,-0.0359,0.8060,0.5781,0.1739,non
agents demographiques (v8),profil croise,naive,149 items,gini_simpson,0.30,0.9795,0.8621,1.0926,0.8231,0.8125,0.8339,0.8316,0.5203,0.5168,0.5238,-0.0389,-0.0417,-0.0359,0.8060,0.5781,0.1739,oui
agents demographiques (v8),profil croise,naive,70 items ordinaux,entropie,0.30,1.0601,0.9484,1.1657,0.8226,0.8127,0.8333,0.8337,0.5203,0.5168,0.5238,-0.0389,-0.0417,-0.0359,0.8060,0.5781,0.1739,oui
agents demographiques (v8),profil croise,naive,70 items ordinaux,gini_simpson,0.30,1.2095,1.0736,1.3467,0.8362,0.8259,0.8468,0.8527,0.5203,0.5168,0.5238,-0.0389,-0.0417,-0.0359,0.8060,0.5781,0.1739,non
agents demographiques (v8),profil croise,naive,70 items ordinaux,variance_ordinale,0.30,1.0099,0.8548,1.1745,0.9557,0.9314,0.9866,0.9608,0.5203,0.5168,0.5238,-0.0389,-0.0417,-0.0359,0.8060,0.5781,0.1739,oui
agents enquete,political_ideology,dilatation,149 items,entropie,0.80,1.3422,1.2534,1.4205,0.9906,0.9815,1.0004,1.0068,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748,non
agents enquete,political_ideology,dilatation,149 items,gini_simpson,0.80,1.5580,1.4616,1.6467,0.9833,0.9724,0.9946,1.0120,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748,non
