item,panel,paire,ecart_annees,n_personnes,n_changeurs,taux_changement,derive_nette_tv,part_dirigee,n_monotone,n_contraire,n_indetermine,part_monotone_du_changement,part_contraire_du_changement,perimetre
natsoc,2008-2012,2008-2012,4,1203,386,0.32086450540315875,0.06899418121363261,0.2150259067357514,211,128,47,0.5466321243523317,0.3316062176165803,4 ans
natmass,2008-2012,2008-2012,4,1167,454,0.389031705227078,0.09083119108826052,0.23348017621145378,235,129,90,0.5176211453744494,0.2841409691629956,4 ans
natpark,2008-2012,2008-2012,4,1245,417,0.3349397590361446,0.005622489959839345,0.016786570743405237,53,46,318,0.12709832134292565,0.11031175059952038,4 ans
natchld,2008-2012,2008-2012,4,1128,427,0.37854609929078015,0.07978723404255322,0.2107728337236535,224,134,69,0.5245901639344263,0.31381733021077285,4 ans
natsci,2008-2012,2008-2012,4,1158,505,0.43609671848013815,0.02849740932642486,0.06534653465346532,242,209,54,0.4792079207920792,0.41386138613861384,4 ans
uswary,2008-2012,2008-2012,4,385,101,0.2623376623376623,0.02857142857142858,0.10891089108910895,56,45,0,0.5544554455445545,0.44554455445544555,4 ans
prayer,2008-2012,2008-2012,4,796,211,0.2650753768844221,0.0012562814070351813,0.004739336492891016,0,105,106,0.0,0.4976303317535545,4 ans
courts,2008-2012,2008-2012,4,1133,323,0.2850838481906443,0.011473962930273633,0.040247678018575934,123,110,90,0.38080495356037153,0.34055727554179566,4 ans
discaffw,2008-2012,2008-2012,4,443,211,0.4762979683972912,0.0632054176072235,0.1327014218009479,100,72,39,0.47393364928909953,0.3412322274881517,4 ans
discaffm,2008-2012,2008-2012,4,379,228,0.6015831134564644,0.042216358839050186,0.07017543859649131,81,65,82,0.35526315789473684,0.2850877192982456,4 ans
fehire,2008-2012,2008-2012,4,452,231,0.5110619469026548,0.07522123893805308,0.14718614718614714,69,35,127,0.2987012987012987,0.15151515151515152,4 ans
fechld,2008-2012,2008-2012,4,837,410,0.48984468339307047,0.04420549581839906,0.09024390243902443,155,118,137,0.3780487804878049,0.28780487804878047,4 ans
fepresch,2008-2012,2008-2012,4,829,352,0.42460796139927626,0.0470446320868516,0.11079545454545447,77,121,154,0.21875,0.34375,4 ans
fefam,2008-2012,2008-2012,4,829,370,0.44632086851628466,0.05307599517490956,0.118918918918919,133,89,148,0.35945945945945945,0.24054054054054055,4 ans
fepol,2008-2012,2008-2012,4,781,160,0.20486555697823303,0.040973111395646564,0.1999999999999998,96,64,0,0.6,0.4,4 ans
wrkstat,2008-2012,2008-2012,4,1293,481,0.3720030935808198,0.07501933488012374,0.20166320166320167,162,65,254,0.3367983367983368,0.13513513513513514,4 ans
evwork,2008-2012,2008-2012,4,333,11,0.03303303303303303,0.009009009009009018,0.272727272727273,7,4,0,0.6363636363636364,0.36363636363636365,4 ans
partfull,2008-2012,2008-2012,4,806,141,0.17493796526054592,0.018610421836228297,0.1063829787234043,78,63,0,0.5531914893617021,0.44680851063829785,4 ans
conarmy,2008-2012,2008-2012,4,845,322,0.3810650887573965,0.040236686390532565,0.10559006211180129,141,107,74,0.43788819875776397,0.33229813664596275,4 ans
conbus,2008-2012,2008-2012,4,845,299,0.35384615384615387,0.033136094674556235,0.09364548494983284,158,130,11,0.5284280936454849,0.43478260869565216,4 ans
conclerg,2008-2012,2008-2012,4,845,325,0.38461538461538464,0.013017751479289921,0.0338461538461538,156,145,24,0.48,0.4461538461538462,4 ans
coneduc,2008-2012,2008-2012,4,858,354,0.4125874125874126,0.06643356643356642,0.16101694915254233,136,79,139,0.384180790960452,0.2231638418079096,4 ans
confed,2008-2012,2008-2012,4,847,446,0.526564344746163,0.025974025974025976,0.04932735426008968,52,63,331,0.11659192825112108,0.1412556053811659,4 ans
confinan,2008-2012,2008-2012,4,856,418,0.4883177570093458,0.2184579439252336,0.44736842105263147,245,58,115,0.5861244019138756,0.13875598086124402,4 ans
conjudge,2008-2012,2008-2012,4,836,345,0.4126794258373206,0.031100478468899517,0.0753623188405797,119,93,133,0.34492753623188405,0.26956521739130435,4 ans
conlabor,2008-2012,2008-2012,4,804,318,0.39552238805970147,0.04975124378109456,0.12578616352201266,129,89,100,0.4056603773584906,0.279874213836478,4 ans
conlegis,2008-2012,2008-2012,4,849,335,0.3945818610129564,0.09893992932862189,0.2507462686567164,172,88,75,0.5134328358208955,0.2626865671641791,4 ans
conmedic,2008-2012,2008-2012,4,859,349,0.4062863795110594,0.03958090803259602,0.09742120343839536,79,45,225,0.22636103151862463,0.12893982808022922,4 ans
conpress,2008-2012,2008-2012,4,851,336,0.39482961222091656,0.014101057579318461,0.03571428571428575,165,153,18,0.49107142857142855,0.45535714285714285,4 ans
consci,2008-2012,2008-2012,4,813,307,0.37761377613776137,0.013530135301353038,0.03583061889250821,37,144,126,0.12052117263843648,0.46905537459283386,4 ans
contv,2008-2012,2008-2012,4,854,355,0.41569086651053866,0.03161592505854804,0.07605633802816908,180,153,22,0.5070422535211268,0.4309859154929577,4 ans
joblose,2008-2012,2008-2012,4,434,198,0.45622119815668205,0.05069124423963136,0.11111111111111116,89,67,42,0.4494949494949495,0.3383838383838384,4 ans
jobfind,2008-2012,2008-2012,4,431,204,0.4733178654292343,0.13689095127610212,0.2892156862745099,81,22,101,0.39705882352941174,0.10784313725490197,4 ans
happy,2008-2012,2008-2012,4,1288,534,0.41459627329192544,0.03260869565217392,0.07865168539325845,271,229,34,0.5074906367041199,0.4288389513108614,4 ans
hapmar,2008-2012,2008-2012,4,569,153,0.2688927943760984,0.03163444639718804,0.11764705882352938,73,55,25,0.477124183006536,0.35947712418300654,4 ans
satjob,2008-2012,2008-2012,4,862,389,0.45127610208816704,0.009280742459396779,0.020565552699228853,77,69,243,0.19794344473007713,0.17737789203084833,4 ans
