config_x,config_y,n_attaques,n_pool,n_items,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,hasard_top1,hasard_top10,top1_controle,top1_controle_bas,top1_controle_haut,top10_controle,n_controle
Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona - GPT4.1-mini,2058,2058,60,0.7054421768707483,0.6870493197278911,0.7239808066083576,0.9113945578231293,0.9001135811467446,0.9225710641399417,1.0,0.00048590864917395527,0.004859086491739553,0.00012153621779290228,0.0,0.00036460865337870687,0.005250364608653379,2057
Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona - Gemini-Flash2.5,2058,2058,60,0.1552478134110787,0.13999028182701653,0.17079931972789114,0.3884596695821186,0.36836370262390666,0.40858053935860056,22.6,0.00048590864917395527,0.004859086491739553,9.722897423432184e-05,0.0,0.0002916869227029655,0.0036460865337870686,2057
Text Persona - GPT4.1-mini,Demographics Only - GPT4.1-mini,2058,2058,60,0.07337220602526726,0.06268039358600584,0.08425716715257532,0.19956268221574344,0.18291848882410106,0.21693513119533528,119.925,0.00048590864917395527,0.004859086491739553,0.0007778317938745747,0.0,0.0020418084589207586,0.0040593096742829364,2057
Text Persona - GPT4.1-mini,JSON Persona - GPT4.1,2058,2058,60,0.30726433430515065,0.2886522108843537,0.325512026239067,0.5734936831875608,0.5527903304178815,0.5935896501457725,5.6,0.00048590864917395527,0.004859086491739553,0.0004861448711716091,0.0,0.0014584346135148275,0.003986387943607194,2057
Text Persona - GPT4.1-mini,JSON Persona - GPT4.1-mini,1000,1000,19,0.0064,0.003,0.010151249999999994,0.047400000000000005,0.03609874999999999,0.05845,159.975,0.001,0.01,0.0018036072144288577,0.000250501002004008,0.004358717434869739,0.009168336673346694,998
Text Persona - GPT4.1-mini,Text Persona (Default Temperature) - GPT4.1-mini,2058,2058,60,0.7940476190476191,0.7773566569484937,0.810886175898931,0.9498299319727891,0.9408637026239066,0.9583825315840621,1.0,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.006514341273699563,2057
Text Persona - GPT4.1-mini,Text Persona (Reasoning) - GPT4.1-mini,2058,2058,60,0.2986151603498542,0.2800977891156463,0.3166180758017492,0.5253644314868804,0.5031061710398446,0.5463326044703596,8.35,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.0042780748663101605,2057
Text Persona - GPT4.1-mini,Text Persona (Repeating Questions) - GPT4.1-mini,2058,2058,60,0.6347424684159378,0.6139455782312925,0.6528923712342081,0.866326530612245,0.8523275024295432,0.8802727162293488,1.0,0.00048590864917395527,0.004859086491739553,0.000850753524550316,0.0,0.0020418084589207586,0.005614973262032086,2057
Text Persona - GPT4.1-mini,Text Persona - Gemini-Flash2.5,2058,2058,60,0.1505344995140914,0.13549501943634595,0.16521015549076773,0.36943634596695824,0.3502666423712342,0.3893634596695821,25.575000000000003,0.00048590864917395527,0.004859086491739553,0.0005833738454059309,0.0,0.00160427807486631,0.007583859990277103,2057
Text Persona - Gemini-Flash2.5,Demographics Only - GPT4.1-mini,2058,2058,60,0.1118318756073858,0.09876032555879495,0.12512390670553936,0.2702380952380952,0.2512372448979592,0.28880466472303207,73.775,0.00048590864917395527,0.004859086491739553,0.000631988332523092,0.0,0.0014584346135148275,0.0055177442877977646,2057
Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,2058,2058,60,0.42014091350826044,0.39977951895043734,0.4410683916423712,0.6913508260447035,0.6720262390670555,0.7105235665694849,2.25,0.00048590864917395527,0.004859086491739553,0.0004861448711716091,0.0,0.0014584346135148275,0.003646086533787069,2057
Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1-mini,1000,1000,19,0.0034500000000000004,0.00095,0.006849999999999999,0.02825,0.020050000000000002,0.037200000000000004,225.825,0.001,0.01,0.0004008016032064128,0.0,0.0012024048096192386,0.006012024048096192,998
Text Persona - Gemini-Flash2.5,Text Persona (Default Temperature) - GPT4.1-mini,2058,2058,60,0.1508989310009718,0.13619897959183674,0.1654774052478134,0.38258017492711377,0.36217018950437313,0.40299076773566567,22.9,0.00048590864917395527,0.004859086491739553,0.0009722897423432182,0.0,0.0024307243558580457,0.005639280505590666,2057
Text Persona - Gemini-Flash2.5,Text Persona (Reasoning) - GPT4.1-mini,2058,2058,60,0.2882896015549077,0.26938593294460644,0.30656098153547134,0.5671525753158406,0.54727648202138,0.5881705539358599,6.2,0.00048590864917395527,0.004859086491739553,0.00021876519202722412,0.0,0.0008750607681088965,0.004350996596985901,2057
Text Persona - Gemini-Flash2.5,Text Persona (Repeating Questions) - GPT4.1-mini,2058,2058,60,0.1814868804664723,0.16700619533527697,0.197667638483965,0.440913508260447,0.42082057823129254,0.4609341593780369,16.325000000000003,0.00048590864917395527,0.004859086491739553,0.0016771998055420516,0.00029168692270296545,0.003500850753524547,0.007219251336898396,2057
Text Persona - Gemini-Flash2.5,Text Persona - GPT4.1-mini,2058,2058,60,0.19193391642371235,0.17592322643343053,0.20935617103984452,0.44793488824101074,0.42653061224489797,0.46924319727891156,15.875,0.00048590864917395527,0.004859086491739553,0.0024307243558580457,0.0004861448711716091,0.004861448711716091,0.005177442877977638,2057
