variable,regle_choc,mois_choc,cible,predicteur,description,n_menages,taux_de_base,auc,auc_permutee,chute,chute_ic_bas,chute_ic_haut,p_permutation_normal,p_permutation_empirique,p_holm,retenu_holm
revenu,"primaire, saut de moyenne",2025-06,Y_dir,T0b,temoin constant,1047,0.4145176695319962,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
revenu,"secondaire, saut d'IQR",2025-04,Y_rev,V,volatilite passee du menage seule,1021,0.4809010773751224,0.6980459593436575,0.5164459324443762,0.1816000268992813,0.13042243007868,0.2268053681867755,6.85289078169633e-25,0.0049751243781094,1.0964625250714129e-22,True
revenu,"secondaire, saut d'IQR",2025-04,Y_rev,N,"ecart au niveau moyen avant le choc, seul",1021,0.4809010773751224,0.6770299350574491,0.5180417034930638,0.1589882315643853,0.1088976651779482,0.2022183309014697,6.485937271252976e-17,0.0049751243781094,8.820874688904047e-15,True
revenu,"secondaire, saut d'IQR",2025-04,Y_rev,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1021,0.4809010773751224,0.459933520347385,0.506426007762364,-0.046492487414979,-0.1033151047573159,0.0004916200668495,0.0059329454033315,0.0099502487562189,0.26197599729883503,False
revenu,"secondaire, saut d'IQR",2025-04,Y_rev,D,demographies seules,1021,0.4809010773751224,0.59274680090689,0.5557525746455059,0.0369942262613841,0.0022630722128872,0.0716231354157113,0.005289515802896,0.0099502487562189,0.24331772693321602,False
revenu,"secondaire, saut d'IQR",2025-04,Y_rev,H,historique du menage,1021,0.4809010773751224,0.8175594666256772,0.5210859335972025,0.2964735330284748,0.249365868899803,0.3374541597990321,2.558770561970723e-65,0.0049751243781094,5.373418180138518e-63,True
revenu,"secondaire, saut d'IQR",2025-04,Y_rev,HD,historique et demographies,1021,0.4809010773751224,0.8215636168005226,0.5282356761326519,0.2933279406678707,0.2477290801397715,0.3318774437482421,1.0184445294622584e-57,0.0049751243781094,2.108180175986875e-55,True
revenu,"secondaire, saut d'IQR",2025-04,Y_rev,T0b,temoin constant,1021,0.4809010773751224,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
revenu,"secondaire, saut d'IQR",2025-04,Y_dir,V,volatilite passee du menage seule,1021,0.3770812928501469,0.5595605652209426,0.4992876031201503,0.0602729621007922,0.0076768247114653,0.1043181146587612,0.000708581973572,0.0049751243781094,0.041806336440748,True
revenu,"secondaire, saut d'IQR",2025-04,Y_dir,N,"ecart au niveau moyen avant le choc, seul",1021,0.3770812928501469,0.557134689210161,0.5006045903781753,0.0565300988319856,0.0121133043132681,0.1033576446428721,0.00210837148067,0.0149253731343283,0.11596043143684999,False
revenu,"secondaire, saut d'IQR",2025-04,Y_dir,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1021,0.3770812928501469,0.6864984072531243,0.5145277199215879,0.1719706873315364,0.1156031912365382,0.2143017438536306,1.756694465008934e-21,0.0049751243781094,2.635041697513401e-19,True
