source,taux,tirage,n_remplacees,polarisation,A,B,C,C_exces,C5,C5_exces,patrons,patrons_nul,q5,q5_nul,q4,conc_nul,n_lignes_patrons,n_paires,patrons_nul_et,q5_nul_et,conc_nul_et,replis_segment
B0 segment,0.1,7,105,0.4503217560929373,-0.05907899470627542,0.03713596954455599,0.026711026615969587,0.004323906844106468,0.10299429657794676,0.007589115969581728,732.3,778.28,0.06189858281137662,0.02476261326682063,0.08795593283513602,0.02238711977186312,1052.0,11026,3.222831212713597,0.00021717218226921647,0.00047412448457588514,0.0
B0 segment,0.1,8,105,0.44237352403854147,-0.05909532098537651,0.03680749735983199,0.026806083650190115,0.004325095057034222,0.10342205323193916,0.008607414448669193,733.1,779.14375,0.06166073525176206,0.024853237891930065,0.08681513793638479,0.022480988593155893,1052.0,11026,2.9467101930014183,0.00021251752282044724,0.0005640105468950469,0.0
B0 segment,0.1,9,105,0.4511943006716611,-0.060388067159064085,0.037730480086565724,0.026140684410646386,0.003960313688212924,0.1005703422053232,0.0062191064638783405,733.4,780.5350000000001,0.06248276072882716,0.024752280642261433,0.08881841164000966,0.02218037072243346,1052.0,11026,3.0184942756791266,0.0001862980795620676,0.0006196387940310486,0.0
B0 segment,0.1,10,105,0.4438000485441971,-0.05843023489420518,0.037216161662943274,0.027043726235741444,0.004755228136882131,0.10270912547528517,0.007447718631178699,732.3,777.74375,0.06194513147222358,0.024728969809280306,0.08764657621888959,0.022288498098859313,1052.0,11026,2.5620801719876654,0.00019254570955493038,0.0004920450950715726,0.0
B0 segment,0.1,11,105,0.46041811910340735,-0.05759734581554443,0.036671987698522215,0.026663498098859317,0.003951996197718636,0.10313688212927759,0.007306321292775683,732.85,777.64,0.06148465753809899,0.02481266983957677,0.08900009055528418,0.02271150190114068,1052.0,11026,4.067841360394145,0.00016481764405401177,0.0005703980587516099,0.0
B0 segment,0.1,12,105,0.44974509741772145,-0.05947901291033453,0.03742061690507034,0.026853612167300377,0.004323906844106461,0.10099809885931559,0.006219106463878327,735.15,781.64125,0.062240629561606906,0.024820012656536567,0.08848060405007475,0.022529705323193917,1052.0,11026,3.4695172112971524,0.00013428695625039441,0.0005156730380470224,0.0
B0 segment,0.1,13,105,0.4617965957170185,-0.05621203435634836,0.03644117353723217,0.027091254752851707,0.004508079847908741,0.10346958174904944,0.008654942965779469,734.7,778.45875,0.061241856544847345,0.02480068300761518,0.08856621289706652,0.022583174904942965,1052.0,11026,3.6263792689905117,0.00017724577680345473,0.0005581832114965122,0.0
B0 segment,0.1,14,105,0.4489933067225238,-0.05953018310672076,0.03744603583702219,0.02633079847908746,0.003913973384030423,0.10232889733840304,0.007618821292775663,731.2,777.48375,0.06222170895166189,0.024775673114639695,0.08830335697883171,0.022416825095057036,1052.0,11026,3.113708060274022,0.00021041977522833,0.0004227236870121903,0.0
B0 segment,0.1,15,105,0.4508614200085863,-0.05408774280296391,0.036913434657587174,0.026901140684410647,0.004437975285171106,0.10304182509505704,0.0070948193916349905,735.15,777.18625,0.06169169519291554,0.024778260535328372,0.08772585137272847,0.02246316539923954,1052.0,11026,3.116662981624038,0.00019481552793986856,0.0005244935984764298,0.0
B0 segment,0.1,16,105,0.4518487971715889,-0.05872839121882034,0.03631253076049484,0.027043726235741444,0.004590066539923953,0.10304182509505704,0.008075095057034229,733.3,779.0525,0.06111264198199764,0.02480011122150279,0.08760244917752898,0.02245365969581749,1052.0,11026,3.9252461951204656,0.0001773953193682546,0.00059896255596179,0.0
B0 segment,0.1,17,105,0.4503924691615099,-0.06088233455225178,0.03720304118878424,0.026853612167300377,0.004421340304182508,0.10280418250950571,0.008012119771863127,732.25,779.7212499999999,0.061960615925301776,0.02475757473651754,0.08796095245772777,0.02243227186311787,1052.0,11026,3.5257457385382343,0.00018442120507278486,0.0005923110728695809,0.0
B0 segment,0.1,18,105,0.44703053110460467,-0.05864315829819866,0.03666473924552274,0.025998098859315595,0.0039923954372623645,0.10104562737642586,0.008454134980988612,736.8,782.7,0.06144218053898838,0.024777441293465634,0.08706849675699875,0.02200570342205323,1052.0,11026,3.1978358066282717,0.00019042058794082884,0.00042673987895334493,0.0
B0 segment,0.1,19,105,0.4497394633331465,-0.056871702938360635,0.036664158821050445,0.026378326996197722,0.003867633079847912,0.10147338403041825,0.006833412547528506,733.9,778.155,0.06144589652738891,0.024781737706338465,0.08821191284160305,0.02251069391634981,1052.0,11026,3.334585662186759,0.0001249310793651283,0.0005162567883191779,0.0
B0 segment,0.25,0,263,0.4535624186896575,-0.042733939477059724,0.029260324656368925,0.026045627376425858,0.0031523288973384044,0.1002851711026616,0.0034874049429657744,741.6,774.70625,0.05403529529246315,0.024774970636094223,0.08093446445992997,0.022893298479087453,1052.0,11026,3.4387159853941367,0.00017431177972677194,0.0005796488401680289,0.0
B0 segment,0.25,1,263,0.44712776959970535,-0.04542910596926608,0.02975384672598703,0.025427756653992394,0.0029800380228136893,0.10133079847908746,0.006089591254752863,746.2,781.7125,0.054552135222325236,0.024798288496338205,0.0809552223565484,0.022447718631178705,1052.0,11026,3.8681929458943323,0.0001773736280951547,0.0005868796097984664,0.0
