perimetre,definition,condition,famille_condition,tranche,exactitude,ic_bas,ic_haut,n_cellules,n_personnes,taux_refus
150,rarete,humains vague 2,plancher,ensemble,0.791499,0.775926,0.805774,22350,150,0.000000
150,ordinale,humains vague 2,plancher,bas,0.816276,0.790202,0.841033,568,150,0.000000
150,ordinale,humains vague 2,plancher,milieu,0.873684,0.863372,0.882898,9514,150,0.000000
150,ordinale,humains vague 2,plancher,haut,0.799004,0.766869,0.829161,568,150,0.000000
150,ordinale,humains vague 2,plancher,ensemble,0.866640,0.855560,0.876546,10650,150,0.000000
150,ordinale extremes,humains vague 2,plancher,bas,0.859037,0.842197,0.875265,3002,150,0.000000
150,ordinale extremes,humains vague 2,plancher,milieu,0.878099,0.868957,0.886376,5436,150,0.000000
150,ordinale extremes,humains vague 2,plancher,haut,0.848796,0.829018,0.866662,2212,150,0.000000
150,ordinale extremes,humains vague 2,plancher,ensemble,0.866640,0.855560,0.876546,10650,150,0.000000
1052,rarete,agents composite,riche,bas,0.219883,0.197551,0.241816,1710,1052,0.000000
1052,rarete,agents composite,riche,milieu,0.676903,0.672558,0.681034,148819,1052,0.000000
1052,rarete,agents composite,riche,haut,0.979740,0.976114,0.983141,6219,1052,0.000000
1052,rarete,agents composite,riche,ensemble,0.683932,0.679695,0.688022,156748,1052,0.000000
1052,ordinale,agents composite,riche,bas,0.677687,0.665934,0.689709,3763,1052,0.000000
1052,ordinale,agents composite,riche,milieu,0.800105,0.797020,0.803091,67166,1052,0.000000
1052,ordinale,agents composite,riche,haut,0.744285,0.732359,0.756499,3763,1052,0.000000
1052,ordinale,agents composite,riche,ensemble,0.791125,0.787979,0.794277,74692,1052,0.000000
1052,ordinale extremes,agents composite,riche,bas,0.749173,0.741713,0.756529,21307,1052,0.000000
1052,ordinale extremes,agents composite,riche,milieu,0.811659,0.807978,0.815195,37351,1052,0.000000
1052,ordinale extremes,agents composite,riche,haut,0.799039,0.792290,0.805596,16034,1052,0.000000
1052,ordinale extremes,agents composite,riche,ensemble,0.791125,0.787979,0.794277,74692,1052,0.000000
1052,rarete,agents entretien (v3),riche,bas,0.219298,0.197904,0.240608,1710,1052,0.000900
1052,rarete,agents entretien (v3),riche,milieu,0.648842,0.644719,0.652742,148819,1052,0.000900
1052,rarete,agents entretien (v3),riche,haut,0.959801,0.955262,0.964257,6219,1052,0.000900
1052,rarete,agents entretien (v3),riche,ensemble,0.656493,0.652474,0.660264,156748,1052,0.000900
1052,ordinale,agents entretien (v3),riche,bas,0.659757,0.647161,0.672541,3763,1052,0.000900
1052,ordinale,agents entretien (v3),riche,milieu,0.777782,0.774573,0.780761,67166,1052,0.000900
1052,ordinale,agents entretien (v3),riche,haut,0.747282,0.735270,0.759323,3763,1052,0.000900
1052,ordinale,agents entretien (v3),riche,ensemble,0.770299,0.767007,0.773311,74692,1052,0.000900
1052,ordinale extremes,agents entretien (v3),riche,bas,0.725467,0.717579,0.732667,21307,1052,0.000900
1052,ordinale extremes,agents entretien (v3),riche,milieu,0.784179,0.780465,0.787943,37351,1052,0.000900
1052,ordinale extremes,agents entretien (v3),riche,haut,0.797542,0.790541,0.804213,16034,1052,0.000900
1052,ordinale extremes,agents entretien (v3),riche,ensemble,0.770299,0.767007,0.773311,74692,1052,0.000900
1052,rarete,agents enquete,riche,bas,0.111111,0.093587,0.129911,1710,1052,0.000810
1052,rarete,agents enquete,riche,milieu,0.647868,0.643865,0.651800,148819,1052,0.000810
1052,rarete,agents enquete,riche,haut,0.874096,0.863255,0.884375,6219,1052,0.000810
1052,rarete,agents enquete,riche,ensemble,0.650988,0.647032,0.654835,156748,1052,0.000810
1052,ordinale,agents enquete,riche,bas,0.694014,0.682613,0.705631,3763,1052,0.000810
1052,ordinale,agents enquete,riche,milieu,0.776367,0.773362,0.779348,67166,1052,0.000810
1052,ordinale,agents enquete,riche,haut,0.676059,0.663111,0.688730,3763,1052,0.000810
1052,ordinale,agents enquete,riche,ensemble,0.767164,0.764115,0.770185,74692,1052,0.000810
1052,ordinale extremes,agents enquete,riche,bas,0.756514,0.749996,0.762968,21307,1052,0.000810
1052,ordinale extremes,agents enquete,riche,milieu,0.790699,0.787452,0.793891,37351,1052,0.000810
1052,ordinale extremes,agents enquete,riche,haut,0.726494,0.719444,0.733650,16034,1052,0.000810
1052,ordinale extremes,agents enquete,riche,ensemble,0.767164,0.764115,0.770185,74692,1052,0.000810
1052,rarete,agents demographiques (v6),etiquette,bas,0.231579,0.209521,0.253438,1710,1052,0.002003
1052,rarete,agents demographiques (v6),etiquette,milieu,0.568590,0.564058,0.573062,148819,1052,0.002003
1052,rarete,agents demographiques (v6),etiquette,haut,0.993890,0.991169,0.996296,6219,1052,0.002003
1052,rarete,agents demographiques (v6),etiquette,ensemble,0.581787,0.577392,0.586068,156748,1052,0.002003
1052,ordinale,agents demographiques (v6),etiquette,bas,0.587373,0.577169,0.597557,3763,1052,0.002003
1052,ordinale,agents demographiques (v6),etiquette,milieu,0.748962,0.745919,0.751954,67166,1052,0.002003
1052,ordinale,agents demographiques (v6),etiquette,haut,0.530895,0.518773,0.543028,3763,1052,0.002003
1052,ordinale,agents demographiques (v6),etiquette,ensemble,0.729835,0.726352,0.733130,74692,1052,0.002003
1052,ordinale extremes,agents demographiques (v6),etiquette,bas,0.669216,0.663705,0.674669,21307,1052,0.002003
1052,ordinale extremes,agents demographiques (v6),etiquette,milieu,0.809052,0.805925,0.812085,37351,1052,0.002003
1052,ordinale extremes,agents demographiques (v6),etiquette,haut,0.625856,0.618339,0.633166,16034,1052,0.002003
1052,ordinale extremes,agents demographiques (v6),etiquette,ensemble,0.729835,0.726352,0.733130,74692,1052,0.002003
1052,rarete,agents v7,riche,bas,0.045614,0.035470,0.056442,1710,1052,0.000376
1052,rarete,agents v7,riche,milieu,0.554271,0.548865,0.559479,148819,1052,0.000376
1052,rarete,agents v7,riche,haut,0.939701,0.932238,0.946853,6219,1052,0.000376
1052,rarete,agents v7,riche,ensemble,0.564014,0.558762,0.569079,156748,1052,0.000376
1052,ordinale,agents v7,riche,bas,0.608875,0.597111,0.620448,3763,1052,0.000376
1052,ordinale,agents v7,riche,milieu,0.737955,0.734269,0.741558,67166,1052,0.000376
1052,ordinale,agents v7,riche,haut,0.507291,0.492840,0.522326,3763,1052,0.000376
1052,ordinale,agents v7,riche,ensemble,0.719831,0.715862,0.723786,74692,1052,0.000376
1052,ordinale extremes,agents v7,riche,bas,0.703275,0.696186,0.710056,21307,1052,0.000376
1052,ordinale extremes,agents v7,riche,milieu,0.786530,0.783042,0.789844,37351,1052,0.000376
1052,ordinale extremes,agents v7,riche,haut,0.586459,0.576940,0.595972,16034,1052,0.000376
1052,ordinale extremes,agents v7,riche,ensemble,0.719831,0.715862,0.723786,74692,1052,0.000376
1052,rarete,agents v8,etiquette,bas,0.059649,0.047231,0.071795,1710,1052,0.001008
1052,rarete,agents v8,etiquette,milieu,0.546987,0.541648,0.552210,148819,1052,0.001008
1052,rarete,agents v8,etiquette,haut,0.987458,0.983620,0.991129,6219,1052,0.001008
1052,rarete,agents v8,etiquette,ensemble,0.559146,0.553965,0.564148,156748,1052,0.001008
1052,ordinale,agents v8,etiquette,bas,0.600711,0.587019,0.613530,3763,1052,0.001008
1052,ordinale,agents v8,etiquette,milieu,0.724606,0.720117,0.728840,67166,1052,0.001008
1052,ordinale,agents v8,etiquette,haut,0.644269,0.630152,0.658266,3763,1052,0.001008
1052,ordinale,agents v8,etiquette,ensemble,0.714317,0.709932,0.718522,74692,1052,0.001008
1052,ordinale extremes,agents v8,etiquette,bas,0.654565,0.644510,0.664071,21307,1052,0.001008
1052,ordinale extremes,agents v8,etiquette,milieu,0.766471,0.760723,0.772309,37351,1052,0.001008
1052,ordinale extremes,agents v8,etiquette,haut,0.672224,0.664075,0.680437,16034,1052,0.001008
1052,ordinale extremes,agents v8,etiquette,ensemble,0.714317,0.709932,0.718522,74692,1052,0.001008
1052,rarete,B0 uniforme,aveugle,bas,0.185965,0.167679,0.205636,1710,1052,0.000000
1052,rarete,B0 uniforme,aveugle,milieu,0.353463,0.350974,0.355837,148819,1052,0.000000
1052,rarete,B0 uniforme,aveugle,haut,0.393632,0.382362,0.405015,6219,1052,0.000000
1052,rarete,B0 uniforme,aveugle,ensemble,0.353229,0.350875,0.355526,156748,1052,0.000000
1052,ordinale,B0 uniforme,aveugle,bas,0.500898,0.488017,0.513287,3763,1052,0.000000
1052,ordinale,B0 uniforme,aveugle,milieu,0.592811,0.590229,0.595410,67166,1052,0.000000
1052,ordinale,B0 uniforme,aveugle,haut,0.516321,0.503361,0.528705,3763,1052,0.000000
1052,ordinale,B0 uniforme,aveugle,ensemble,0.584326,0.581797,0.586931,74692,1052,0.000000
1052,ordinale extremes,B0 uniforme,aveugle,bas,0.498426,0.492854,0.504069,21307,1052,0.000000
1052,ordinale extremes,B0 uniforme,aveugle,milieu,0.667868,0.665572,0.670229,37351,1052,0.000000
1052,ordinale extremes,B0 uniforme,aveugle,haut,0.503867,0.497955,0.509953,16034,1052,0.000000
1052,ordinale extremes,B0 uniforme,aveugle,ensemble,0.584326,0.581797,0.586931,74692,1052,0.000000
1052,rarete,B0 mode,aveugle,bas,0.000000,0.000000,0.000000,1710,1052,0.000000
1052,rarete,B0 mode,aveugle,milieu,0.583212,0.578599,0.587755,148819,1052,0.000000
1052,rarete,B0 mode,aveugle,haut,1.000000,1.000000,1.000000,6219,1052,0.000000
1052,rarete,B0 mode,aveugle,ensemble,0.593386,0.588811,0.597757,156748,1052,0.000000
1052,ordinale,B0 mode,aveugle,bas,0.567393,0.557122,0.577346,3763,1052,0.000000
1052,ordinale,B0 mode,aveugle,milieu,0.774211,0.771203,0.777113,67166,1052,0.000000
1052,ordinale,B0 mode,aveugle,haut,0.465298,0.453497,0.476858,3763,1052,0.000000
1052,ordinale,B0 mode,aveugle,ensemble,0.748229,0.744551,0.751720,74692,1052,0.000000
1052,ordinale extremes,B0 mode,aveugle,bas,0.718179,0.713420,0.722894,21307,1052,0.000000
1052,ordinale extremes,B0 mode,aveugle,milieu,0.825317,0.823006,0.827589,37351,1052,0.000000
1052,ordinale extremes,B0 mode,aveugle,haut,0.608582,0.602131,0.615023,16034,1052,0.000000
1052,ordinale extremes,B0 mode,aveugle,ensemble,0.748229,0.744551,0.751720,74692,1052,0.000000
1052,rarete,B0 tirage,aveugle,bas,0.032164,0.024333,0.040386,1710,1052,0.000000
1052,rarete,B0 tirage,aveugle,milieu,0.476377,0.473606,0.479259,148819,1052,0.000000
1052,rarete,B0 tirage,aveugle,haut,0.987940,0.985185,0.990508,6219,1052,0.000000
1052,rarete,B0 tirage,aveugle,ensemble,0.491828,0.489104,0.494724,156748,1052,0.000000
1052,ordinale,B0 tirage,aveugle,bas,0.541932,0.530413,0.553317,3763,1052,0.000000
1052,ordinale,B0 tirage,aveugle,milieu,0.687199,0.684707,0.689809,67166,1052,0.000000
1052,ordinale,B0 tirage,aveugle,haut,0.481577,0.469245,0.493250,3763,1052,0.000000
1052,ordinale,B0 tirage,aveugle,ensemble,0.669521,0.666748,0.672317,74692,1052,0.000000
1052,ordinale extremes,B0 tirage,aveugle,bas,0.630927,0.625931,0.636166,21307,1052,0.000000
1052,ordinale extremes,B0 tirage,aveugle,milieu,0.735114,0.732598,0.737555,37351,1052,0.000000
1052,ordinale extremes,B0 tirage,aveugle,haut,0.568011,0.561507,0.574638,16034,1052,0.000000
1052,ordinale extremes,B0 tirage,aveugle,ensemble,0.669521,0.666748,0.672317,74692,1052,0.000000
