perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,precision,f1,plancher_item,exces_item,plancher_segment,exces_segment,plancher_humains vague 2,exces_humains vague 2,rappel_ic_bas,rappel_ic_haut,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p
1052,0.100000,P_C partition aleatoire,T3 deductible,B3 foret,1641,100,0.026204,0.430000,0.049397,0.081222,-0.055019,0.128550,-0.103550,0.586837,-0.560634,0.018799,0.033910,-0.111420,-0.095561,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,B3 foret,5709,207,0.014363,0.396135,0.027721,0.062262,-0.047899,0.092714,-0.078830,0.548257,-0.533894,0.011347,0.017547,-0.083175,-0.074452,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,B0 tirage,1904,1912,0.038340,0.038180,0.038260,0.040197,-0.001856,0.056979,-0.017741,0.500000,-0.461660,0.029204,0.047671,-0.027843,-0.007204,0.001500
1052,0.100000,P_B division de recensement,T2 intermediaire,B0 tirage,1937,1980,0.062468,0.061111,0.061782,0.067497,-0.005029,0.096547,-0.034195,0.570470,-0.508002,0.051682,0.073797,-0.047190,-0.020750,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,B0 tirage,1868,1807,0.084582,0.087438,0.085986,0.079324,0.005258,0.125677,-0.042988,0.574411,-0.489829,0.071654,0.097857,-0.058145,-0.027362,0.000250
1052,0.100000,P_B division de recensement,ensemble,B0 tirage,5709,5699,0.061657,0.061765,0.061711,0.062262,-0.000605,0.092714,-0.031509,0.548257,-0.486600,0.055565,0.067826,-0.039178,-0.023686,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,B0 tirage,1956,1705,0.039366,0.045161,0.042065,0.038907,0.000459,0.051547,-0.012867,0.505112,-0.465746,0.030864,0.048339,-0.022322,-0.003093,0.009500
1052,0.100000,P_C partition aleatoire,T2 intermediaire,B0 tirage,2112,2318,0.068182,0.062123,0.065011,0.069160,-0.000979,0.103552,-0.036225,0.558239,-0.490057,0.057782,0.079626,-0.048500,-0.022749,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,B0 tirage,1641,1676,0.079829,0.078162,0.078987,0.081222,-0.001393,0.128550,-0.047995,0.586837,-0.507008,0.067135,0.093288,-0.064210,-0.031853,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,B0 tirage,5709,5699,0.061657,0.061765,0.061711,0.062262,-0.000605,0.092714,-0.031509,0.548257,-0.486600,0.055565,0.067826,-0.039178,-0.023686,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,B0 mode,1904,0,0.000000,,0.000000,0.040197,-0.040197,0.056979,-0.056979,0.500000,-0.500000,0.000000,0.000000,-0.062237,-0.051966,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,B0 mode,1937,0,0.000000,,0.000000,0.067497,-0.067497,0.096547,-0.096547,0.570470,-0.570470,0.000000,0.000000,-0.102695,-0.090179,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,B0 mode,1868,0,0.000000,,0.000000,0.079324,-0.079324,0.125677,-0.125677,0.574411,-0.574411,0.000000,0.000000,-0.133754,-0.117915,0.000250
1052,0.100000,P_B division de recensement,ensemble,B0 mode,5709,0,0.000000,,0.000000,0.062262,-0.062262,0.092714,-0.092714,0.548257,-0.548257,0.000000,0.000000,-0.097174,-0.088230,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,B0 mode,1956,0,0.000000,,0.000000,0.038907,-0.038907,0.051547,-0.051547,0.505112,-0.505112,0.000000,0.000000,-0.055631,-0.047614,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,B0 mode,2112,0,0.000000,,0.000000,0.069160,-0.069160,0.103552,-0.103552,0.558239,-0.558239,0.000000,0.000000,-0.110506,-0.096775,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,B0 mode,1641,0,0.000000,,0.000000,0.081222,-0.081222,0.128550,-0.128550,0.586837,-0.586837,0.000000,0.000000,-0.137808,-0.119854,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,B0 mode,5709,0,0.000000,,0.000000,0.062262,-0.062262,0.092714,-0.092714,0.548257,-0.548257,0.000000,0.000000,-0.097174,-0.088230,0.000250
