perimetre,camp,item,desirabilite_humaine,n_personnes,pole_endogroupe
1052,droite,parsol,0.533133,332,
1052,droite,spanking,0.374498,332,
1052,droite,sexeduc,0.701807,332,
1052,droite,xmarsex,0.855422,332,
1052,droite,homosex,0.445783,332,droite_bas
1052,droite,marhomo,0.500753,332,droite_bas
1052,droite,pornlaw,0.647590,332,
1052,droite,vote16,0.783133,332,
1052,droite,news,0.365211,332,
1052,droite,attend,0.372364,332,
1052,droite,pray,0.624699,332,
1052,droite,reborn,0.537906,332,
1052,droite,savesoul,0.487952,332,
1052,droite,income,0.778204,332,
1052,droite,health,0.625502,332,
1052,droite,xmovie,0.683735,332,
1052,droite,life,0.637048,332,
1052,droite,richwork,0.442771,332,
1052,tous,natspac/y,0.458650,1052,droite_bas
1052,tous,natenvir/y,0.773289,1052,droite_bas
1052,tous,natheal/y,0.828422,1052,droite_bas
1052,tous,natcity/y,0.467205,1052,droite_bas
1052,tous,natdrug/y,0.750000,1052,droite_bas
1052,tous,nateduc/y,0.809411,1052,droite_bas
1052,tous,natrace/y,0.568916,1052,droite_bas
1052,tous,natarms/y,0.424905,1052,
1052,tous,nataid/y,0.182034,1052,
1052,tous,natfare/y,0.808460,1052,droite_bas
1052,tous,natroad,0.719582,1052,droite_bas
1052,tous,natsoc,0.820342,1052,droite_bas
1052,tous,natmass,0.657795,1052,droite_bas
1052,tous,natpark,0.604563,1052,droite_bas
1052,tous,natchld,0.732890,1052,droite_bas
1052,tous,natsci,0.618821,1052,droite_bas
1052,tous,natenrgy,0.679658,1052,droite_bas
1052,tous,fechld,0.726869,1052,droite_bas
1052,tous,fepresch,0.655577,1052,droite_bas
1052,tous,fefam,0.640684,1052,droite_bas
1052,tous,fepol,0.764259,1052,droite_bas
1052,tous,incom16,0.447481,1052,
1052,tous,divorced,0.709125,1052,
1052,tous,conarmy,0.674905,1052,
1052,tous,conbus,0.402567,1052,
1052,tous,conclerg,0.317966,1052,
1052,tous,coneduc,0.543726,1052,
1052,tous,confed,0.356939,1052,
1052,tous,confinan,0.461502,1052,
1052,tous,conjudge,0.400190,1052,
1052,tous,conlabor,0.504278,1052,
1052,tous,conlegis,0.279468,1052,
1052,tous,conmedic,0.666350,1052,
1052,tous,conpress,0.325095,1052,
1052,tous,consci,0.699144,1052,
1052,tous,contv,0.327947,1052,
1052,tous,happy,0.475760,1052,
1052,tous,hapmar,0.684444,1052,
1052,tous,satjob,0.709071,1052,
1052,tous,unemp,0.600760,1052,
1052,tous,spkath/y,0.812738,1052,
1052,tous,colath,0.748099,1052,
1052,tous,spkcom/y,0.690114,1052,
1052,tous,colcom/y,0.685361,1052,
1052,tous,libcom/y,0.742395,1052,
1052,tous,spkhomo/y,0.938213,1052,droite_bas
1052,tous,colhomo,0.933460,1052,droite_bas
1052,tous,libhomo/y,0.864068,1052,droite_bas
1052,tous,polhitok/y,0.343156,1052,
1052,tous,polabuse/y,0.938213,1052,
1052,tous,satfin,0.494297,1052,
1052,tous,finalter,0.475285,1052,
1052,tous,finrela,0.409458,1052,
1052,tous,racdif1,0.527567,1052,droite_bas
1052,tous,racdif2,0.933460,1052,droite_bas
1052,tous,racdif3,0.488593,1052,droite_bas
1052,tous,racdif4,0.711027,1052,droite_bas
1052,tous,letin1a,0.375238,1052,droite_bas
1052,tous,parsol,0.527329,1052,
1052,tous,spanking,0.527567,1052,
1052,tous,sexeduc,0.849810,1052,
1052,tous,xmarsex,0.764259,1052,
1052,tous,homosex,0.685361,1052,droite_bas
1052,tous,marhomo,0.719582,1052,droite_bas
1052,tous,pornlaw,0.585551,1052,
1052,tous,vote16,0.689163,1052,
1052,tous,news,0.368108,1052,
1052,tous,attend,0.254990,1052,
1052,tous,pray,0.469011,1052,
1052,tous,reborn,0.414127,1052,
1052,tous,savesoul,0.319392,1052,
1052,tous,income,0.783270,1052,
1052,tous,health,0.595057,1052,
1052,tous,xmovie,0.619772,1052,
1052,tous,life,0.619297,1052,
1052,tous,richwork,0.392586,1052,
