perimetre,condition,support_minimal,cellules_minoritaires,rappel,plancher_segment,exces_segment,avantage_sur_B1,avantage_ic_bas,avantage_ic_haut,avantage_p,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p
150,B3 foret,5,320,0.015625,0.107580,-0.093643,-0.062500,-0.101914,-0.028776,0.000250,-0.124912,-0.063059,0.000250
150,B3 foret,10,181,0.027624,0.128996,-0.104305,-0.077348,-0.140629,-0.023945,0.004000,-0.151425,-0.054921,0.000500
150,B3 foret,20,0,,,,,,,1.000000,,,1.000000
150,B0 tirage,0,354,0.084746,0.099378,-0.017617,0.014124,-0.038124,0.066119,0.613000,-0.057278,0.025228,0.415500
150,B0 tirage,5,320,0.090625,0.107580,-0.020472,0.012500,-0.045017,0.068537,0.691500,-0.063742,0.026706,0.382000
150,B0 tirage,10,181,0.088398,0.128996,-0.042577,-0.016575,-0.102949,0.069936,0.784500,-0.103372,0.021579,0.202000
150,B0 tirage,20,0,,,,,,,1.000000,,,1.000000
150,B0 mode,0,354,0.000000,0.099378,-0.099378,-0.070621,-0.107563,-0.037939,0.000250,-0.125176,-0.075183,0.000250
150,B0 mode,5,320,0.000000,0.107580,-0.107580,-0.078125,-0.118752,-0.042205,0.000250,-0.134842,-0.081345,0.000250
150,B0 mode,10,181,0.000000,0.128996,-0.128996,-0.104972,-0.168370,-0.047619,0.000250,-0.168463,-0.091498,0.000250
150,B0 mode,20,0,,,,,,,1.000000,,,1.000000
