modele,cle_modele,camp,identite,item,famille,n_modalites,rejet,n_tentatives,motif_rejet,gs_decrit,gs_reel_w1,gs_reel_w1_sans_biais,gs_reel_w2,tv_decrit_reel,tv_plancher_w1_w2,pos_decrit,pos_reel_w1,pos_reel_w2
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,hunt1,hors famille,4,False,1,,0.7,0.09701591244989627,0.09724912377790083,0.1369494332591482,0.8496402877697842,0.021582733812949714,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,class,hors famille,4,False,1,,0.73,0.6532098062557149,0.6547800221361374,0.6465733887709977,0.19376498800959233,0.04316546762589932,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,satfin,hors famille,3,False,1,,0.565,0.6555446290449656,0.6571204574801699,0.6279753175876566,0.2814148681055156,0.07434052757793773,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,finalter,hors famille,3,False,1,,0.645,0.6607318461777342,0.6623201438848922,0.6660110760312614,0.14064748201438848,0.0455635491606714,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,finrela,hors famille,5,False,1,,0.775,0.7240596012398715,0.7258001291274674,0.7231969819827591,0.11906474820143886,0.047961630695443735,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,racdif1,hors famille,2,False,1,,0.4949999999999999,0.30711545871216706,0.30785371702637904,0.3357544180482952,0.3605515587529976,0.02398081534772184,0.55,0.1894484412470023,0.2134292565947242
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,racdif2,hors famille,2,False,1,,0.0,0.10848299777444237,0.10874377421140018,0.10848299777444237,0.05755395683453232,0.0,0.0,0.0575539568345323,0.0575539568345323
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,racdif3,hors famille,2,False,1,,0.2550000000000001,0.4037058123285544,0.4046762589928058,0.4078693879428832,0.5694244604316547,0.0047961630695443624,0.85,0.2805755395683453,0.2853717026378897
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,racdif4,hors famille,2,False,1,,0.17999999999999994,0.21105417824014183,0.2115615200147576,0.23948610895456302,0.019904076738609132,0.01918465227817743,0.1,0.1199040767386091,0.1390887290167865
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,wlthwhts,hors famille,7,False,1,,0.8033240997229917,0.6520021392957578,0.6535694521306035,0.6672532477615031,0.2844881989145527,0.04796163069544367,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,wlthblks,hors famille,7,False,1,,0.8033240997229917,0.6299420894938725,0.6314563733628482,0.6623535703811052,0.542345071311372,0.043165467625899304,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,wlthhsps,hors famille,7,False,1,,0.8033240997229917,0.6861733634674995,0.6878228186681425,0.6943624956150187,0.4320333207118516,0.019184652278177443,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,racwork,hors famille,7,False,1,,0.7211999999999998,0.7390461731334357,0.7408227264342373,0.7292008120122607,0.43201438848920876,0.043165467625899276,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,letin1a,hors famille,5,False,1,,0.7449999999999999,0.7275330814485104,0.7292819590481463,0.695581664165071,0.13177458033573133,0.05035971223021584,0.5375000000000001,0.4496402877697841,0.4514388489208633
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,getahead,hors famille,3,False,1,,0.615,0.5411958203221595,0.5424967718133186,0.5282220266951907,0.20431654676258998,0.019184652278177478,0.65,0.5875299760191847,0.5779376498800959
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,aged,hors famille,3,False,1,,0.585,0.5104865747689618,0.5117137059583102,0.5007332263685456,0.3163069544364509,0.011990407673860875,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,parsol,hors famille,5,False,1,,0.76,0.7794397575464809,0.7813134108098139,0.7865937465854655,0.2211031175059951,0.028776978417266237,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,kidssol,hors famille,6,False,1,,0.7849999999999999,0.7641771474906407,0.7660141117874932,0.7765068520722991,0.32757793764988014,0.03357314148681051,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,spanking,hors famille,4,False,1,,0.705,0.687024481134517,0.6886759822910904,0.6873350240670772,0.16486810551558756,0.02398081534772186,0.4000000000000001,0.31654676258992803,0.3229416466826539
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,divlaw,hors famille,3,False,1,,0.645,0.5584597070545003,0.5598021582733814,0.5709159291272019,0.18525179856115107,0.026378896882493987,0.4,0.29856115107913667,0.302158273381295
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,sexeduc,hors famille,2,False,1,,0.2550000000000001,0.08697502429710946,0.08718409887474675,0.09994881792407795,0.1044364508393285,0.007194244604316495,0.15,0.0455635491606714,0.052757793764988
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,pillok,hors famille,4,False,1,,0.41000000000000014,0.6006245363421493,0.6020683453237411,0.6117695771440402,0.2484412470023981,0.026378896882494018,0.13333333333333333,0.21662669864108702,0.2278177458033572
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,xmarsex,hors famille,4,False,1,,0.6849999999999999,0.6828954102904727,0.6845369857959788,0.6762819959859452,0.19784172661870508,0.050359712230215806,0.5166666666666666,0.6666666666666666,0.6562749800159873
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,homosex,hors famille,4,False,1,,0.7,0.369166537273778,0.37005395683453235,0.36580807296608764,0.4817745803357315,0.007194244604316585,0.3666666666666667,0.12310151878497194,0.12390087929656268
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,marhomo,hors famille,5,False,1,,0.2664000000000001,0.386625951037731,0.38755534034311023,0.3717888998153994,0.0802158273381294,0.023980815347721875,0.0575,0.10191846522781763,0.09892086330935236
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,discaff,hors famille,3,False,1,,0.645,0.4492866138743682,0.4503666297731047,0.44297224091230614,0.39304556354916076,0.007194244604316502,0.475,0.1762589928057553,0.17266187050359705
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,abdefect,avortement (ab*),2,False,1,,0.34319999999999995,0.1127155829293397,0.11298653384984293,0.09994881792407795,0.16004796163069554,0.0071942446043164465,0.22,0.0599520383693045,0.052757793764988
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,abnomore,avortement (ab*),2,False,1,,0.22619999999999996,0.22188867610947205,0.22242206235011985,0.2289966587880774,0.0029016786570743858,0.004796163069544376,0.13,0.1270983213429256,0.13189448441247
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,abhlth,avortement (ab*),2,False,1,,0.1472,0.06935458827182872,0.06952130603209755,0.06489197131503444,0.044028776978417214,0.0023980815347722367,0.08,0.0359712230215827,0.0335731414868105
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,abpoor,avortement (ab*),2,False,1,,0.22619999999999996,0.18876409663635996,0.18921785648404355,0.20739667258998562,0.02448441247002399,0.01199040767386092,0.13,0.105515587529976,0.1175059952038369
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,abrape,avortement (ab*),2,False,1,,0.1472,0.06489197131503444,0.06504796163069558,0.07379420204843301,0.04642685851318945,0.00479616306954431,0.08,0.0335731414868105,0.0383693045563549
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,absingle,avortement (ab*),2,False,1,,0.29520000000000013,0.22188867610947205,0.22242206235011985,0.2254541690388696,0.0529016786570744,0.002398081534772195,0.18,0.1270983213429256,0.1294964028776978
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,abany,avortement (ab*),2,False,1,,0.1472,0.23948610895456302,0.24006179671647304,0.27295573613051993,0.05908872901678657,0.02398081534772184,0.08,0.1390887290167865,0.1630695443645084
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,letdie1,fin de vie (suicide/letdie),2,False,1,,0.4351999999999999,0.23948610895456302,0.24006179671647304,0.24976853049934156,0.1809112709832134,0.007194244604316544,0.32,0.1390887290167865,0.1462829736211031
