source,famille,statistique,taux,valeur_moyenne,ecart_a_la_reference,z,p_bilateral,puissance_empirique,n_tirages,taux_detectable_alpha5,taux_detectable_holm27,courbe_a,courbe_b,courbe_r2,p_holm
agents demographiques (v6),modele a demographies,B,0.25,0.05705363151051057,0.014837569351908678,17.225420342897426,1.7117962699692004e-66,1.0,20,0.04725,0.0661,0.04985763677857381,0.025858021004365506,0.9986402397225622,
agents demographiques (v6),modele a demographies,B,0.5,0.07346095820905077,0.031244896050448875,36.27322341511978,4.278098178220368e-288,1.0,20,0.04725,0.0661,0.04985763677857381,0.025858021004365506,0.9986402397225622,
agents demographiques (v6),modele a demographies,C,0.05,0.028014977574902723,0.0007811372707202113,1.2356714172247596,0.21658072621039529,0.15,20,0.05725,0.07585,0.024717387497864972,0.10898312341473208,0.998801635302594,1.0
agents demographiques (v6),modele a demographies,C,0.1,0.029883792160154337,0.0026499518559718258,4.191926167377745,2.765960201366762e-05,1.0,20,0.05725,0.07585,0.024717387497864972,0.10898312341473208,0.998801635302594,
agents demographiques (v6),modele a demographies,C,0.25,0.041069856362540735,0.013836016058358224,21.88702320632167,3.453421425592253e-106,1.0,20,0.05725,0.07585,0.024717387497864972,0.10898312341473208,0.998801635302594,
agents demographiques (v6),modele a demographies,C,0.5,0.06667074553842578,0.03943690523424327,62.38475413780438,0.0,1.0,20,0.05725,0.07585,0.024717387497864972,0.10898312341473208,0.998801635302594,
agents v8,modele a etiquette,A,0.05,-0.08167323417288148,-0.01311147287984267,-4.491382079524748,7.076247589018127e-06,1.0,20,0.025400000000000002,0.0359,-0.3225143570382782,0.01408004388089566,0.9993834861963515,0.00016982994213643506
agents v8,modele a etiquette,A,0.1,-0.09847911144061132,-0.029917350147572505,-10.248295637803782,1.204486189127064e-24,1.0,20,0.025400000000000002,0.0359,-0.3225143570382782,0.01408004388089566,0.9993834861963515,
agents v8,modele a etiquette,A,0.25,-0.15078650643567088,-0.08222474514263206,-28.16638147456845,1.5099952186571026e-174,1.0,20,0.025400000000000002,0.0359,-0.3225143570382782,0.01408004388089566,0.9993834861963515,
agents v8,modele a etiquette,A,0.5,-0.22579741103887088,-0.15723564974583207,-53.86163598878102,0.0,1.0,20,0.025400000000000002,0.0359,-0.3225143570382782,0.01408004388089566,0.9993834861963515,
