jeu,predicteur,item,mi_bits,entropie_humaine_bits
Twin-2K-500,B0 tirage,32,-0.00013904390198016383,0.9884474381266917
Twin-2K-500,B0 tirage,33,-0.0003476853163983952,0.9839207393294618
Twin-2K-500,B0 tirage,34,9.414843897803546e-05,0.992389622117408
Twin-2K-500,B0 tirage,35,-0.00033882898981674306,0.9928265129423262
Twin-2K-500,B0 tirage,36,-1.126174683509088e-06,0.9916339128800118
Twin-2K-500,B0 tirage,37,-0.0003497227394462245,0.9951878802971897
Twin-2K-500,B0 tirage,38,0.0002803348712114838,0.9931108887286502
Twin-2K-500,B0 tirage,39,-0.0003490060415027875,0.9845528988319523
Twin-2K-500,B0 tirage,40,0.0008366158133852318,0.9947016065454062
Twin-2K-500,B0 tirage,41,8.778719109270181e-05,0.993389759260429
Twin-2K-500,B0 tirage,42,0.0004945305600383408,0.9793851225722311
Twin-2K-500,B0 tirage,43,-4.02043482818927e-05,0.9928265129423262
Twin-2K-500,B0 tirage,44,0.00023560357978125044,0.9906815461789256
Twin-2K-500,B0 tirage,45,-0.000281947951777496,0.9908437246328534
Twin-2K-500,B0 tirage,46,8.279880885164612e-05,0.9873373931349485
Twin-2K-500,B0 tirage,47,-6.568354698322079e-05,0.9851725220671761
Twin-2K-500,B0 tirage,48,-0.0001993596644473973,0.9898499326590742
Twin-2K-500,B0 tirage,49,-0.00034747076289409886,0.9922412368194928
Twin-2K-500,B0 tirage,50,-0.0003206603724437164,0.9867636445765502
Twin-2K-500,B0 tirage,51,0.000937787934296884,0.992536629715774
Twin-2K-500,B0 tirage,52,0.00022750448628716544,0.984760832284804
Twin-2K-500,B0 tirage,53,-7.50953284929258e-05,0.9855786450334957
Twin-2K-500,B0 tirage,54,-0.0003345022894398765,0.9898499326590742
Twin-2K-500,B0 tirage,55,-0.00017524839399163508,0.9845528988319523
Twin-2K-500,B0 tirage,56,-0.0003386133580161056,0.9906815461789256
Twin-2K-500,B0 tirage,57,-0.00016307628805911758,0.9891597569207325
Twin-2K-500,B0 tirage,58,-0.0003218887749643086,0.9810362409029043
Twin-2K-500,B0 tirage,59,0.0009837070095224374,0.992389622117408
Twin-2K-500,B1 argmax,0,0.18693241912377176,2.1518314761987885
Twin-2K-500,B1 argmax,1,0.1733316042789825,2.097367995708299
Twin-2K-500,B1 argmax,2,0.18807163867801033,2.1057217557884034
Twin-2K-500,B1 argmax,3,0.17588912421672195,1.937651438082106
Twin-2K-500,B1 argmax,4,0.030829174794336094,1.8450157745948101
Twin-2K-500,B1 argmax,5,0.2342401999108805,2.1045925291929604
Twin-2K-500,B1 argmax,6,0.11089252260073577,1.7751756886277978
Twin-2K-500,B1 argmax,7,0.10373188754097161,1.8534320012884278
Twin-2K-500,B1 argmax,8,0.3082372745673858,2.3067827312080036
Twin-2K-500,B1 argmax,9,0.039490338890745914,2.1736894773083106
Twin-2K-500,B1 argmax,10,0.006054884856812482,1.7612482095388404
Twin-2K-500,B1 argmax,11,0.016952204938759118,2.311043966301265
Twin-2K-500,B1 argmax,12,0.02575874060529411,2.687569676063709
Twin-2K-500,B1 argmax,13,0.037331640030078675,2.6280972149013593
Twin-2K-500,B1 argmax,14,0.007901154263832281,2.340997551695686
Twin-2K-500,B1 argmax,15,0.0051388334875093,2.1199317725722557
Twin-2K-500,B1 argmax,16,0.01972788929243661,2.1407993382056354
Twin-2K-500,B1 argmax,17,0.012119331304808224,2.1048157193171066
Twin-2K-500,B1 argmax,18,0.05527751416393788,1.9142331273210715
Twin-2K-500,B1 argmax,19,0.006336566532797238,0.9573425734686967
Twin-2K-500,B1 argmax,20,0.009127970829991837,0.9911639398132197
Twin-2K-500,B1 argmax,21,0.0019861981412330186,0.9908437246328534
Twin-2K-500,B1 argmax,22,0.0020385184144331423,0.994947489007991
Twin-2K-500,B1 argmax,23,0.004741374180404766,0.9953060173280208
Twin-2K-500,B1 argmax,24,0.00290310683217143,0.9944502310277452
Twin-2K-500,B1 argmax,25,0.004943643151882781,0.9929693891278855
Twin-2K-500,B1 argmax,26,0.0013925445668039314,0.9939309930845985
Twin-2K-500,B1 argmax,27,4.3047080886092633e-05,0.9884474381266917
Twin-2K-500,B1 argmax,28,0.0034583966919061724,0.9855786450334957
Twin-2K-500,B1 argmax,29,0.004355206029739377,0.9935271307269335
Twin-2K-500,B1 argmax,30,0.010504505338968516,0.9906815461789256
Twin-2K-500,B1 argmax,31,0.008220775045413296,0.9891597569207325
Twin-2K-500,B1 argmax,32,0.0017527865976816313,0.9884474381266917
Twin-2K-500,B1 argmax,33,0.005242558595829338,0.9839207393294618
Twin-2K-500,B1 argmax,34,0.0032248920926400957,0.992389622117408
Twin-2K-500,B1 argmax,35,0.008496526867806995,0.9928265129423262
Twin-2K-500,B1 argmax,36,0.0015057483417508775,0.9916339128800118
Twin-2K-500,B1 argmax,37,0.0026842006356848623,0.9951878802971897
Twin-2K-500,B1 argmax,38,0.0035207291767271874,0.9931108887286502
Twin-2K-500,B1 argmax,39,0.006898608086064461,0.9845528988319523
Twin-2K-500,B1 argmax,40,0.003984284170530205,0.9947016065454062
Twin-2K-500,B1 argmax,41,0.0017311657528795697,0.993389759260429
Twin-2K-500,B1 argmax,42,-0.00011839941963742842,0.9793851225722311
Twin-2K-500,B1 argmax,43,0.002725170926603403,0.9928265129423262
Twin-2K-500,B1 argmax,44,0.0059112506145519985,0.9906815461789256
Twin-2K-500,B1 argmax,45,0.006663542176037928,0.9908437246328534
Twin-2K-500,B1 argmax,46,0.0014738018394926376,0.9873373931349485
Twin-2K-500,B1 argmax,47,0.005364818573482476,0.9851725220671761
Twin-2K-500,B1 argmax,48,0.004143025371061703,0.9898499326590742
Twin-2K-500,B1 argmax,49,-0.0002980915737766944,0.9922412368194928
Twin-2K-500,B1 argmax,50,0.012961051522472287,0.9867636445765502
Twin-2K-500,B1 argmax,51,-0.0003465820610339966,0.992536629715774
Twin-2K-500,B1 argmax,52,0.0049794434699361725,0.984760832284804
Twin-2K-500,B1 argmax,53,0.00027977311350069076,0.9855786450334957
