source,camp,mode,quantite,taux_total,valeur_humaine,valeur,ecart,facteur,ic_bas,ic_haut,n_tirages
IM m=10 mode des m,droite,uniforme,marginale3,0.3,38.68821292775665,39.42015209125475,0.7319391634980974,1.018918918918919,38.025190114068444,40.472908745247146,10
PMM k=10,droite,concentre,polarisation,0.02,0.4504530967379146,0.4525875873618771,0.0021344906239624817,1.0047385413474121,0.4510126415345123,0.4541755235577337,10
PMM k=10,droite,concentre,polarisation,0.05,0.4504530967379146,0.4558856581276137,0.005432561389699109,1.0120602154342828,0.454808265610582,0.456992895945442,10
PMM k=10,droite,concentre,polarisation,0.1,0.4504530967379146,0.4607967787529411,0.0103436820150265,1.0229628391722319,0.459035442816177,0.4652793689832497,10
PMM k=10,droite,concentre,polarisation,0.2,0.4504530967379146,0.47247698005361294,0.022023883315698323,1.0488927337278633,0.46875002755474543,0.4756375754678555,10
PMM k=10,droite,concentre,polarisation,0.3,0.4504530967379146,0.483639032097115,0.03318593535920039,1.0736723436902218,0.4813837136672848,0.4850193502573265,10
PMM k=10,droite,concentre,marginale1,0.02,33.65019011406844,33.60266159695817,-0.04752851711026551,0.998587570621469,33.165399239543724,33.840304182509506,10
PMM k=10,droite,concentre,marginale1,0.05,33.65019011406844,33.47908745247148,-0.17110266159695442,0.9949152542372882,33.1962927756654,33.840304182509506,10
PMM k=10,droite,concentre,marginale1,0.1,33.65019011406844,33.07984790874525,-0.5703422053231861,0.9830508474576274,32.57366920152091,33.51235741444867,10
PMM k=10,droite,concentre,marginale1,0.2,33.65019011406844,32.927756653992404,-0.7224334600760329,0.9785310734463281,32.31939163498099,33.58602661596958,10
PMM k=10,droite,concentre,marginale1,0.3,33.65019011406844,32.61406844106464,-1.036121673003798,0.9692090395480227,32.43583650190114,32.773288973384034,10
PMM k=10,droite,concentre,marginale2,0.02,52.75665399239544,52.6425855513308,-0.11406844106464575,0.9978378378378377,52.13403041825095,53.094106463878326,10
PMM k=10,droite,concentre,marginale2,0.05,52.75665399239544,52.6235741444867,-0.13307984790873917,0.9974774774774776,52.207699619771866,53.33650190114068,10
PMM k=10,droite,concentre,marginale2,0.1,52.75665399239544,52.690114068441076,-0.06653992395436603,0.9987387387387389,52.112642585551335,53.241444866920155,10
