source,famille,statistique,taille,taux,taux_realise_moyen,valeur_moyenne,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,tau_etoile_holm27,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2
E2 regression contexte tirage,imputation par tirage,B,300,0.1,0.09222222222222216,0.031883853626350545,-0.0018651468207111013,0.0020730142359473513,-0.8997269716571646,0.3682655661745084,0.0,12,0.60205,0.90075,0.48695000000000005,-0.015252788034118179,0.006829240954150813,0.9933306338671518
E2 regression contexte tirage,imputation par tirage,B,300,0.25,0.24027777777777778,0.030485239600271136,-0.00326376084679051,0.0020730142359473513,-1.5744034894671126,0.11539419762802611,0.25,12,0.60205,0.90075,0.48695000000000005,-0.015252788034118179,0.006829240954150813,0.9933306338671518
E2 regression contexte tirage,imputation par tirage,B,300,0.5,0.4852777777777777,0.027811740544224587,-0.005937259902837059,0.0020730142359473513,-2.8640709744686235,0.004182342880393646,0.75,12,0.60205,0.90075,0.48695000000000005,-0.015252788034118179,0.006829240954150813,0.9933306338671518
E2 regression contexte tirage,imputation par tirage,C,300,0.05,0.053611111111111075,0.04593055555555552,0.0007138888888888612,0.00169280352145932,0.42171987465706406,0.673229495961649,0.0,12,0.7695500000000001,0.8492500000000001,0.7171000000000001,0.00027177916347560343,-0.00960215877183335,0.8529782144747717
E2 regression contexte tirage,imputation par tirage,C,300,0.1,0.09222222222222216,0.04552777777777773,0.0003111111111110676,0.00169280352145932,0.1837845368155113,0.8541824873402022,0.0,12,0.7695500000000001,0.8492500000000001,0.7171000000000001,0.00027177916347560343,-0.00960215877183335,0.8529782144747717
E2 regression contexte tirage,imputation par tirage,C,300,0.25,0.24027777777777778,0.04418055555555552,-0.0010361111111111404,0.00169280352145932,-0.6120681449303326,0.5404926724293622,0.0,12,0.7695500000000001,0.8492500000000001,0.7171000000000001,0.00027177916347560343,-0.00960215877183335,0.8529782144747717
E2 regression contexte tirage,imputation par tirage,C,300,0.5,0.4852777777777777,0.04305555555555552,-0.0021611111111111414,0.00169280352145932,-1.2766461575222303,0.2017271982912097,0.0,12,0.7695500000000001,0.8492500000000001,0.7171000000000001,0.00027177916347560343,-0.00960215877183335,0.8529782144747717
E2 regression contexte tirage,imputation par tirage,A,500,0.05,0.05300000000000001,-0.04959271581738165,0.00011933570713050512,0.004675325411364339,0.0255245777845613,0.9796365446343708,0.0,12,0.57555,0.6653,0.5175500000000001,0.01661251351048301,0.016803198178152078,0.9776488631573554
E2 regression contexte tirage,imputation par tirage,A,500,0.1,0.09583333333333334,-0.049360632801897335,0.0003514187226148213,0.004675325411364339,0.0751645482816289,0.9400837909050879,0.0,12,0.57555,0.6653,0.5175500000000001,0.01661251351048301,0.016803198178152078,0.9776488631573554
E2 regression contexte tirage,imputation par tirage,A,500,0.25,0.24283333333333332,-0.04329170264323725,0.0064203488812749065,0.004675325411364339,1.3732410723045994,0.16967741511057347,0.0,12,0.57555,0.6653,0.5175500000000001,0.01661251351048301,0.016803198178152078,0.9776488631573554
E2 regression contexte tirage,imputation par tirage,A,500,0.5,0.4976666666666667,-0.037442602815065555,0.012269448709446601,0.004675325411364339,2.6242983385976055,0.008682769313125916,0.5,12,0.57555,0.6653,0.5175500000000001,0.01661251351048301,0.016803198178152078,0.9776488631573554
E2 regression contexte tirage,imputation par tirage,B,500,0.05,0.05300000000000001,0.03727136413357763,3.0632311165741666e-05,0.001734040458621174,0.017665280537974882,0.9859058784405917,0.0,12,0.41825,0.5133,0.36125,-0.013657977794966554,0.0005791596528428141,0.989017153916182
E2 regression contexte tirage,imputation par tirage,B,500,0.1,0.09583333333333334,0.036016361273416,-0.0012243705489958859,0.001734040458621174,-0.7060795743886199,0.48013865318129667,0.0,12,0.41825,0.5133,0.36125,-0.013657977794966554,0.0005791596528428141,0.989017153916182
E2 regression contexte tirage,imputation par tirage,B,500,0.25,0.24283333333333332,0.03351927805758912,-0.003721453764822767,0.001734040458621174,-2.146117033383344,0.03186364263596554,0.4166666666666667,12,0.41825,0.5133,0.36125,-0.013657977794966554,0.0005791596528428141,0.989017153916182
E2 regression contexte tirage,imputation par tirage,B,500,0.5,0.4976666666666667,0.030629775778358553,-0.006610956044053335,0.001734040458621174,-3.812457783891646,0.000137591735585718,0.9166666666666666,12,0.41825,0.5133,0.36125,-0.013657977794966554,0.0005791596528428141,0.989017153916182
E2 regression contexte tirage,imputation par tirage,C,500,0.05,0.05300000000000001,0.036041666666666666,0.00021733333333332633,0.0013037422640499435,0.16669961489029458,0.8676064085698822,0.0,12,,,,-0.004089194836451272,0.0013316048572368144,0.9539667570154483
