configuration,statistique,taille,taux,valeur_moyenne,reference_humaine,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm39,tau_etoile_holm3,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2,p_holm
JSON Persona (Predicted Output) - GPT4.1-mini,C,2058,0.1,0.0095740994492478,0.008527696793002915,0.001046402656244885,0.00037086482275518526,2.8215203816610956,0.004779660021013968,0.16666666666666666,12,0.0955,0.08055000000000001,0.07215,0.010174218723823006,0.05872882295177047,0.9979409936473168,
JSON Persona (Predicted Output) - GPT4.1-mini,C,2058,0.25,0.01528677788719391,0.008527696793002915,0.006759081094190995,0.00037086482275518526,18.225187937689064,3.257548657107635e-74,1.0,12,0.0955,0.08055000000000001,0.07215,0.010174218723823006,0.05872882295177047,0.9979409936473168,
JSON Persona (Predicted Output) - GPT4.1-mini,C,2058,0.5,0.028188313174149462,0.008527696793002915,0.019660616381146547,0.00037086482275518526,53.01289088322319,0.0,1.0,12,0.0955,0.08055000000000001,0.07215,0.010174218723823006,0.05872882295177047,0.9979409936473168,
JSON Persona - GPT4.1,A,1052,0.05,-0.030481613987855583,-0.02779075930803467,-0.0026908546798209143,0.0029442185715039555,-0.9139452844516164,0.36074559701730186,0.0,12,0.10795,0.08945,0.0792,-0.08605417491220341,-0.2290459857303952,0.9979959810644922,
JSON Persona - GPT4.1,A,1052,0.1,-0.03551604505922936,-0.02779075930803467,-0.007725285751194692,0.0029442185715039555,-2.623883235424498,0.008693358247825415,0.16666666666666666,12,0.10795,0.08945,0.0792,-0.08605417491220341,-0.2290459857303952,0.9979959810644922,
JSON Persona - GPT4.1,A,1052,0.25,-0.06643526461736764,-0.02779075930803467,-0.03864450530933297,0.0029442185715039555,-13.125555854908123,2.350516948718136e-39,1.0,12,0.10795,0.08945,0.0792,-0.08605417491220341,-0.2290459857303952,0.9979959810644922,
JSON Persona - GPT4.1,A,1052,0.5,-0.12752411468264638,-0.02779075930803467,-0.09973335537461171,0.0029442185715039555,-33.874304149798995,1.5924916131701761e-251,1.0,12,0.10795,0.08945,0.0792,-0.08605417491220341,-0.2290459857303952,0.9979959810644922,
JSON Persona - GPT4.1,B,1052,0.05,0.023064435291079915,0.022669280812239557,0.000395154478840358,0.0013101984300480014,0.30159895614123183,0.7629578038391763,0.0,12,0.19425,0.16085000000000002,0.1424,0.021331800104243504,0.03124832717192584,0.9961050594485015,
JSON Persona - GPT4.1,B,1052,0.1,0.0244220703811083,0.022669280812239557,0.0017527895688687414,0.0013101984300480014,1.3378046627673985,0.18096012151757446,0.0,12,0.19425,0.16085000000000002,0.1424,0.021331800104243504,0.03124832717192584,0.9961050594485015,
JSON Persona - GPT4.1,B,1052,0.25,0.030668530746990302,0.022669280812239557,0.007999249934750745,0.0013101984300480014,6.1053728590238645,1.0256096948074455e-09,1.0,12,0.19425,0.16085000000000002,0.1424,0.021331800104243504,0.03124832717192584,0.9961050594485015,
JSON Persona - GPT4.1,B,1052,0.5,0.041004153304205655,0.022669280812239557,0.0183348724919661,0.0013101984300480014,13.993966159228544,1.6967916803854304e-44,1.0,12,0.19425,0.16085000000000002,0.1424,0.021331800104243504,0.03124832717192584,0.9961050594485015,
JSON Persona - GPT4.1,C,1052,0.05,0.011957382762991126,0.011455798479087452,0.0005015842839036742,0.0005300355271454298,0.9463220071398172,0.3439843719663623,0.08333333333333333,12,0.11660000000000001,0.0951,0.08345000000000001,0.01612096860320548,0.020137556086873846,0.9914907051733896,
JSON Persona - GPT4.1,C,1052,0.1,0.012266318124207858,0.011455798479087452,0.0008105196451204059,0.0005300355271454298,1.52917984476542,0.12621986572971908,0.0,12,0.11660000000000001,0.0951,0.08345000000000001,0.01612096860320548,0.020137556086873846,0.9914907051733896,
JSON Persona - GPT4.1,C,1052,0.25,0.01751425855513308,0.011455798479087452,0.006058460076045628,0.0005300355271454298,11.430290548020798,2.9511968410194917e-30,1.0,12,0.11660000000000001,0.0951,0.08345000000000001,0.01612096860320548,0.020137556086873846,0.9914907051733896,
JSON Persona - GPT4.1,C,1052,0.5,0.02440193282636248,0.011455798479087452,0.012946134347275028,0.0005300355271454298,24.425031312519735,9.272804655384152e-132,1.0,12,0.11660000000000001,0.0951,0.08345000000000001,0.01612096860320548,0.020137556086873846,0.9914907051733896,
JSON Persona - GPT4.1,A,2058,0.05,-0.04451296920738906,-0.04095937129436311,-0.003553597913025945,0.0024770209992217196,-1.4346256709743221,0.15139379532691508,0.0,12,0.07250000000000001,0.059250000000000004,0.05205,-0.11935812931708702,-0.268776077724112,0.9986721832091586,1.0
JSON Persona - GPT4.1,A,2058,0.1,-0.05294505724802386,-0.04095937129436311,-0.01198568595366075,0.0024770209992217196,-4.838750239673646,1.3065811447352088e-06,1.0,12,0.07250000000000001,0.059250000000000004,0.05205,-0.11935812931708702,-0.268776077724112,0.9986721832091586,
JSON Persona - GPT4.1,A,2058,0.25,-0.09039670619374679,-0.04095937129436311,-0.04943733489938368,0.0024770209992217196,-19.958383443223493,1.2674637379979656e-88,1.0,12,0.07250000000000001,0.059250000000000004,0.05205,-0.11935812931708702,-0.268776077724112,0.9986721832091586,
