item,cible,predicteur,n_personnes,n_changeurs,taux_de_base,auc,rappel,auc_permutee,auc_permutee_p2_5,auc_permutee_p97_5,auc_permutee_ecart_type,z_permutation,chute,p_permutation,p_permutation_normale,p_holm,p_bh,p_holm_normale,p_bh_normale
pornlaw,mono,L2 logistique complete,3136,327,0.10427295918367346,0.6303885610145633,0.2018348623853211,0.5161013147996337,0.4873391882579259,0.544149783951323,0.014985398621300572,7.626573646995229,0.11428724621492958,0.004975124378109453,1.2053761492071447e-14,0.5870646766169154,0.0054865857627749105,4.339354137145721e-13,1.7136672964631695e-14
pornlaw,mono,V voisins k=25,3136,327,0.10427295918367346,0.5576962646277855,0.1529051987767584,0.5159740861342366,0.48001155090180864,0.5516162961342038,0.016919700507838625,2.4658934402662602,0.04172217849354898,0.01990049751243781,0.006833599321685107,1.0,0.04348627234199373,0.48518555183964257,0.016799264999142555
pornlaw,mono,F foret,3136,327,0.10427295918367346,0.7447762380204301,0.3394495412844037,0.5279219644589311,0.4964326928625007,0.556039700917649,0.015316638550144068,14.158085199409454,0.216854273561499,0.004975124378109453,8.323423373802075e-46,0.5870646766169154,0.005149690145762416,4.910819790543224e-44,1.6369399301810745e-45
pornlaw,mono,T0 nul avec derive,3136,327,0.10427295918367346,0.46790950450877095,0.11009174311926606,0.5041685310322979,0.4733444841449992,0.5376642819116797,0.016537241930980204,-2.1925679430014697,-0.036259026523526916,0.9950248756218906,0.9858307385506093,1.0,1.0,1.0,0.9998362572761497
pornlaw,mono,T0b nul a taux commun,3136,327,0.10427295918367346,0.5,0.10091743119266056,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
pornlaw,mono,T1 temoin de segment,3136,327,0.10427295918367346,0.5381631562158766,0.11009174311926606,0.5939359235223609,0.5815317845762256,0.6061963484561964,0.006720158032833986,-8.299323770956637,-0.05577276730648428,1.0,1.0,1.0,1.0,1.0,1.0
fair,mono,P position initiale seule,3141,466,0.1483603947787329,0.742072921262685,0.43776824034334766,0.5138580121134331,0.4888251674621957,0.5381611046488308,0.013655956512038046,16.71174838233229,0.2282149091492519,0.004975124378109453,5.381645898273588e-63,0.5870646766169154,0.005644852659778033,4.7358483904807576e-61,2.048497470955753e-62
fair,mono,L1 logistique resumee,3141,466,0.1483603947787329,0.793899963900365,0.39914163090128757,0.5187837070314066,0.4952873129838354,0.5426040672255424,0.012032322799389768,22.864766966101605,0.27511625686895835,0.004975124378109453,5.210350652205056e-116,0.5870646766169154,0.005241648898365316,5.470868184815309e-114,4.391581264001404e-115
fair,mono,L2 logistique complete,3141,466,0.1483603947787329,0.71387028197826,0.34549356223175964,0.5152781757651117,0.48810619309293646,0.5424781998315351,0.014362746526535514,13.826889296294734,0.19859210621314827,0.004975124378109453,8.772244107242685e-44,0.5870646766169154,0.0054865857627749105,5.965125992925026e-42,2.0296564797149744e-43
fair,mono,V voisins k=25,3141,466,0.1483603947787329,0.5294171914483976,0.15879828326180256,0.5131938791063334,0.4843817335846937,0.539697093979383,0.013651052784148259,1.1884293906549739,0.0162233123420642,0.13432835820895522,0.11733214145159965,1.0,0.19813432835820893,1.0,0.18217358804327313
