perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,rappel_ic_bas,rappel_ic_haut,precision,precision_ic_bas,precision_ic_haut,f1,plancher_segment,plancher_item,rappel_sur_cellules_a_plancher,exces_sur_plancher
1052,0.100000,D_seg segment,T3 deductible,B3 foret,1686,123,0.037367,0.028736,0.046700,0.512195,0.426357,0.603452,0.069652,0.220358,0.073437,0.037367,-0.182991
1052,0.100000,D_seg segment,ensemble,B3 foret,5709,207,0.014363,0.011347,0.017547,0.396135,0.330095,0.463640,0.027721,0.092714,0.062262,0.013883,-0.078830
1052,0.100000,D_logit regression,T1 non deductible,B3 foret,1903,0,0.000000,0.000000,0.000000,,,,0.000000,0.038846,0.049497,0.000000,-0.038846
1052,0.100000,D_logit regression,T2 intermediaire,B3 foret,1903,5,0.001051,0.000000,0.002698,0.400000,0.000000,1.000000,0.002096,0.075884,0.064260,0.000578,-0.075306
1052,0.100000,D_logit regression,T3 deductible,B3 foret,1903,202,0.042039,0.033263,0.051296,0.396040,0.329003,0.466347,0.076010,0.166992,0.073029,0.042424,-0.124568
1052,0.100000,D_logit regression,ensemble,B3 foret,5709,207,0.014363,0.011347,0.017547,0.396135,0.330095,0.463640,0.027721,0.092714,0.062262,0.013883,-0.078830
1052,0.100000,D_seg segment,T1 non deductible,humains vague 2,1866,1958,0.486066,0.460697,0.512313,0.463228,0.434065,0.492192,0.474372,0.000000,0.051687,0.486066,0.486066
1052,0.100000,D_seg segment,T2 intermediaire,humains vague 2,1562,1580,0.535851,0.507594,0.562427,0.529747,0.501301,0.557800,0.532782,0.065695,0.062409,0.535851,0.470157
1052,0.100000,D_seg segment,T3 deductible,humains vague 2,1686,1717,0.613286,0.585319,0.640383,0.602213,0.573051,0.629121,0.607699,0.220358,0.073437,0.613286,0.392928
1052,0.100000,D_seg segment,ensemble,humains vague 2,5709,5899,0.548257,0.531037,0.564430,0.530598,0.511673,0.548636,0.539283,0.092714,0.062262,0.543215,0.450501
1052,0.100000,D_logit regression,T1 non deductible,humains vague 2,1903,2038,0.464004,0.438067,0.489992,0.433268,0.404896,0.460952,0.448110,0.038846,0.049497,0.459942,0.421097
1052,0.100000,D_logit regression,T2 intermediaire,humains vague 2,1903,1872,0.529164,0.503723,0.554972,0.537927,0.512037,0.563676,0.533510,0.075884,0.064260,0.527473,0.451588
1052,0.100000,D_logit regression,T3 deductible,humains vague 2,1903,1989,0.651603,0.626177,0.676628,0.623429,0.599073,0.647177,0.637205,0.166992,0.073029,0.647273,0.480280
1052,0.100000,D_logit regression,ensemble,humains vague 2,5709,5899,0.548257,0.531037,0.564430,0.530598,0.511673,0.548636,0.539283,0.092714,0.062262,0.543215,0.450501
1052,0.200000,D_seg segment,T1 non deductible,agents composite,5518,4540,0.278905,0.264749,0.293181,0.338987,0.323974,0.353929,0.306025,0.025439,0.096124,0.278905,0.253466
1052,0.200000,D_seg segment,T2 intermediaire,agents composite,5939,5253,0.341640,0.327347,0.355613,0.386255,0.372590,0.400159,0.362580,0.142424,0.132788,0.341640,0.199216
1052,0.200000,D_seg segment,T3 deductible,agents composite,5080,4500,0.438386,0.420085,0.456761,0.494889,0.478421,0.511762,0.464927,0.334445,0.152986,0.438386,0.103940
1052,0.200000,D_seg segment,ensemble,agents composite,18411,16048,0.355440,0.344888,0.365997,0.407777,0.398678,0.416834,0.379814,0.162376,0.126562,0.350426,0.188050
1052,0.200000,D_logit regression,T1 non deductible,agents composite,6137,5069,0.253707,0.240839,0.266721,0.307161,0.293119,0.321202,0.277887,0.081391,0.095269,0.253985,0.172594
1052,0.200000,D_logit regression,T2 intermediaire,agents composite,6137,5343,0.343979,0.329984,0.358495,0.395096,0.381340,0.409221,0.367770,0.159325,0.136034,0.342852,0.183527
1052,0.200000,D_logit regression,T3 deductible,agents composite,6137,5636,0.468633,0.452540,0.485131,0.510291,0.494924,0.525794,0.488576,0.250066,0.148384,0.458980,0.208913
1052,0.200000,D_logit regression,ensemble,agents composite,18411,16048,0.355440,0.344888,0.365997,0.407777,0.398678,0.416834,0.379814,0.162376,0.126562,0.350426,0.188050
1052,0.200000,D_seg segment,T1 non deductible,agents entretien (v3),5518,4874,0.254078,0.240628,0.267549,0.287649,0.273467,0.301436,0.269823,0.025439,0.096124,0.254078,0.228639
1052,0.200000,D_seg segment,T2 intermediaire,agents entretien (v3),5939,5880,0.336252,0.321852,0.350741,0.339626,0.326696,0.353316,0.337930,0.142424,0.132788,0.336252,0.193828
1052,0.200000,D_seg segment,T3 deductible,agents entretien (v3),5080,5203,0.457283,0.438767,0.475413,0.446473,0.430561,0.462488,0.451814,0.334445,0.152986,0.457283,0.122838
1052,0.200000,D_seg segment,ensemble,agents entretien (v3),18411,17915,0.353213,0.342352,0.363946,0.362992,0.353607,0.372111,0.358036,0.162376,0.126562,0.346012,0.183636
1052,0.200000,D_logit regression,T1 non deductible,agents entretien (v3),6137,5443,0.233339,0.220948,0.245498,0.263090,0.250777,0.275840,0.247323,0.081391,0.095269,0.232850,0.151458
1052,0.200000,D_logit regression,T2 intermediaire,agents entretien (v3),6137,5929,0.337298,0.322762,0.352223,0.349131,0.335884,0.363212,0.343113,0.159325,0.136034,0.335535,0.176209
1052,0.200000,D_logit regression,T3 deductible,agents entretien (v3),6137,6543,0.489001,0.472458,0.505137,0.458658,0.444050,0.473606,0.473344,0.250066,0.148384,0.475051,0.224985
1052,0.200000,D_logit regression,ensemble,agents entretien (v3),18411,17915,0.353213,0.342352,0.363946,0.362992,0.353607,0.372111,0.358036,0.162376,0.126562,0.346012,0.183636
1052,0.200000,D_seg segment,T1 non deductible,agents enquete,5518,5149,0.214752,0.201072,0.228719,0.230142,0.216297,0.243437,0.222181,0.025439,0.096124,0.214752,0.189313
1052,0.200000,D_seg segment,T2 intermediaire,agents enquete,5939,5605,0.272436,0.258344,0.286307,0.288671,0.275125,0.302016,0.280319,0.142424,0.132788,0.272436,0.130012
1052,0.200000,D_seg segment,T3 deductible,agents enquete,5080,4446,0.337402,0.320289,0.354920,0.385515,0.368591,0.403225,0.359857,0.334445,0.152986,0.337402,0.002956
1052,0.200000,D_seg segment,ensemble,agents enquete,18411,17085,0.280484,0.269962,0.291069,0.302253,0.292831,0.311664,0.290962,0.162376,0.126562,0.273145,0.110769
1052,0.200000,D_logit regression,T1 non deductible,agents enquete,6137,6011,0.200587,0.188403,0.212844,0.204791,0.193036,0.217183,0.202667,0.081391,0.095269,0.198280,0.116889
1052,0.200000,D_logit regression,T2 intermediaire,agents enquete,6137,5690,0.283037,0.269133,0.296975,0.305272,0.291629,0.318895,0.293735,0.159325,0.136034,0.279850,0.120525
1052,0.200000,D_logit regression,T3 deductible,agents enquete,6137,5384,0.357830,0.340973,0.375020,0.407875,0.391082,0.424937,0.381217,0.250066,0.148384,0.344235,0.094169
1052,0.200000,D_logit regression,ensemble,agents enquete,18411,17085,0.280484,0.269962,0.291069,0.302253,0.292831,0.311664,0.290962,0.162376,0.126562,0.273145,0.110769
1052,0.200000,D_seg segment,T1 non deductible,agents demographiques (v6),5518,3398,0.179957,0.169095,0.190724,0.292231,0.276220,0.307738,0.222746,0.025439,0.096124,0.179957,0.154518
1052,0.200000,D_seg segment,T2 intermediaire,agents demographiques (v6),5939,4117,0.185385,0.175034,0.195664,0.267428,0.253777,0.281430,0.218974,0.142424,0.132788,0.185385,0.042960
1052,0.200000,D_seg segment,T3 deductible,agents demographiques (v6),5080,2798,0.198031,0.185666,0.210068,0.359543,0.340848,0.377842,0.255395,0.334445,0.152986,0.198031,-0.136414
1052,0.200000,D_seg segment,ensemble,agents demographiques (v6),18411,11371,0.186519,0.179948,0.193243,0.301996,0.293324,0.310998,0.230609,0.162376,0.126562,0.187458,0.025082
1052,0.200000,D_logit regression,T1 non deductible,agents demographiques (v6),6137,4089,0.167997,0.158387,0.177734,0.252140,0.238292,0.266634,0.201643,0.081391,0.095269,0.166756,0.085365
1052,0.200000,D_logit regression,T2 intermediaire,agents demographiques (v6),6137,3993,0.181522,0.171256,0.192015,0.278988,0.265010,0.293928,0.219941,0.159325,0.136034,0.183652,0.024326
