item,panel,n_personnes,part_stable,part_aller_retour,part_persistant,part_erratique,part_monotone_persistant
spkath/y,2008-2012,851,0.7403055229142186,0.07755581668625147,0.18213866039952997,0.0,0.11163337250293771
colath,2008-2012,818,0.6515892420537898,0.1271393643031785,0.22127139364303178,0.0,0.1198044009779951
spkrac/y,2008-2012,840,0.6392857142857142,0.09761904761904762,0.2630952380952381,0.0,0.15476190476190477
colrac,2008-2012,801,0.5630461922596754,0.149812734082397,0.28714107365792757,0.0,0.18102372034956304
librac/y,2008-2012,820,0.6207317073170732,0.12804878048780488,0.25121951219512195,0.0,0.0
spkcom/y,2008-2012,832,0.7283653846153846,0.08774038461538461,0.18389423076923078,0.0,0.10576923076923077
colcom/y,2008-2012,781,0.6043533930857875,0.117797695262484,0.27784891165172854,0.0,0.1523687580025608
libcom/y,2008-2012,817,0.6854345165238678,0.09302325581395349,0.2215422276621787,0.0,0.12729498164014688
spkhomo/y,2008-2012,835,0.844311377245509,0.04311377245508982,0.1125748502994012,0.0,0.06826347305389222
colhomo,2008-2012,824,0.8313106796116505,0.061893203883495146,0.10679611650485436,0.0,0.06796116504854369
libhomo/y,2008-2012,831,0.7557160048134778,0.09265944645006016,0.15162454873646208,0.0,0.08784596871239471
cappun,2008-2012,1154,0.7487001733102253,0.06672443674176777,0.18457538994800693,0.0,0.1022530329289428
polhitok/y,2008-2012,358,0.7011173184357542,0.08100558659217877,0.21787709497206703,0.0,0.12011173184357542
polabuse/y,2008-2012,815,0.8269938650306748,0.06012269938650307,0.11288343558282209,0.0,0.06625766871165645
polattak/y,2008-2012,838,0.7995226730310262,0.06921241050119331,0.13126491646778043,0.0,0.07279236276849642
grass,2008-2012,711,0.7369901547116737,0.08157524613220815,0.18143459915611815,0.0,0.12376933895921238
gunlaw,2008-2012,841,0.703923900118906,0.11058263971462545,0.18549346016646848,0.0,0.09869203329369798
owngun,2008-2012,865,0.8416184971098266,0.03236994219653179,0.12369942196531791,0.0023121387283236996,0.058959537572254334
class,2008-2012,1271,0.5594020456333596,0.14004720692368214,0.2745869394177813,0.025963808025177025,0.13926042486231313
satfin,2008-2012,1284,0.4182242990654206,0.15498442367601245,0.3792834890965732,0.04750778816199377,0.19314641744548286
finalter,2008-2012,1287,0.331002331002331,0.17871017871017872,0.39937839937839936,0.09090909090909091,0.16472416472416473
finrela,2008-2012,1268,0.40930599369085174,0.15930599369085174,0.36908517350157727,0.062302839116719244,0.056782334384858045
racdif1,2008-2012,778,0.6478149100257069,0.10925449871465295,0.24293059125964012,0.0,0.13624678663239073
racdif2,2008-2012,814,0.8390663390663391,0.056511056511056514,0.10442260442260443,0.0,0.05896805896805897
racdif3,2008-2012,804,0.6181592039800995,0.11318407960199005,0.26865671641791045,0.0,0.1517412935323383
racdif4,2008-2012,762,0.5800524934383202,0.14435695538057744,0.2755905511811024,0.0,0.14566929133858267
wlthwhts,2008-2012,813,0.2939729397293973,0.1857318573185732,0.3505535055350554,0.16974169741697417,0.0959409594095941
wlthblks,2008-2012,807,0.25154894671623296,0.18835192069392812,0.38042131350681535,0.17967781908302355,0.07434944237918216
