modele,cle_modele,camp,identite,n_items,gs_decrit_moyen,gs_reel_moyen,ratio,ic_bas,ic_haut,ratio_plancher_w2_w1,part_items_sous_1,p,p_holm,perimetre_analyse,famille,perimetre,ecart_decrit_moyen,ecart_reel_moyen,facteur,facteur_plancher_w2_w1,hypothese,tv_entre_identites_moyenne,plancher_humain_moyen,rapport_au_plancher,part_items_identiques,part_items_au_dessus_du_plancher
Qwen3-4B-Instruct-2507,q4,,journaliste,65,,,,0.1164222763080449,0.5206566128327799,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H2,items retenus stricts,0.07867948717948717,0.2585492958737736,0.3043113573896534,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
Qwen3-4B-Instruct-2507,q4,,adversaire,65,,,,0.08919384654272408,0.4736635077441447,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H2,items retenus stricts,0.06988461538461538,0.2585492958737736,0.2702951294005216,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
gpt-oss-20b,oss20,,journaliste,79,,,,0.39901554096906644,0.8456286681965459,,,0.0014999250037498126,0.004499775011249438,"sensibilite, cellules recopiees gardees",H2,79 items orientes,0.14858649789029535,0.24057928432303727,0.617619668744135,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
gpt-oss-20b,oss20,,adversaire,79,,,,0.38361216939831905,0.8956817201058392,,,0.009149542522873857,0.009149542522873857,"sensibilite, cellules recopiees gardees",H2,79 items orientes,0.1522573839662447,0.24057928432303727,0.6328781981153516,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,journaliste,79,,,,1.0970390422232088,1.4559961177233478,,,0.00359982000899955,0.0071996400179991,"sensibilite, cellules recopiees gardees",H2,79 items orientes,0.3051734641350211,0.24057928432303727,1.2684943551717036,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,adversaire,79,,,,1.1629614521778722,1.588412370606462,,,0.0008999550022498875,0.00359982000899955,"sensibilite, cellules recopiees gardees",H2,79 items orientes,0.3287341772151898,0.24057928432303727,1.3664276130017197,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
Qwen3-4B-Instruct-2507,q4,,journaliste,79,,,,0.06457728298674822,0.44210981155552237,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H2,79 items orientes,0.05885021097046415,0.24057928432303727,0.2446187797759144,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
Qwen3-4B-Instruct-2507,q4,,adversaire,79,,,,0.05429014666126662,0.38674065185103096,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H2,79 items orientes,0.053069620253164564,0.24057928432303727,0.22059098065112479,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
gpt-oss-20b,oss20,gauche,,149,,,,3.188481402635716,5.499122167639855,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H3,,,,,,,0.10281879194630873,0.024286610979672635,4.233558648111333,0.3959731543624161,0.5906040268456376
gpt-oss-20b,oss20,droite,,149,,,,2.8627756250122394,4.6210738097670045,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H3,,,,,,,0.10058691610738256,0.027654241125576136,3.6373052383040934,0.40268456375838924,0.5704697986577181
Qwen3-30B-A3B-Instruct-2507,q30,gauche,,148,,,,2.39392338766276,3.8316275225791507,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H3,,,,,,,0.07330057432432432,0.024126644630241754,3.038158660174614,0.23648648648648649,0.7094594594594594
Qwen3-30B-A3B-Instruct-2507,q30,droite,,149,,,,2.1592867813022925,3.455782329302575,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H3,,,,,,,0.07563758389261745,0.027654241125576136,2.7351169590643267,0.30201342281879195,0.610738255033557
Qwen3-4B-Instruct-2507,q4,gauche,,149,,,,2.3664276881085535,3.817641398879355,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H3,,,,,,,0.07332276174496645,0.024286610979672635,3.0190610705765413,0.348993288590604,0.6174496644295302
Qwen3-4B-Instruct-2507,q4,droite,,149,,,,2.4679150033829957,3.7380095175554326,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H3,,,,,,,0.08443084563758389,0.027654241125576136,3.053088502923976,0.2751677852348993,0.6644295302013423
