jeu,predicteur,fpr,tpr
Stanford,démographique,0.010456273764258554,0.0
Stanford,démographique,0.015209125475285171,0.0
Stanford,démographique,0.017110266159695818,0.0
Stanford,démographique,0.025665399239543727,0.0
Stanford,démographique,0.029467680608365018,0.0
Stanford,démographique,0.030418250950570342,0.0
Stanford,démographique,0.03612167300380228,0.0
Stanford,démographique,0.04847908745247148,0.0009505703422053232
Stanford,démographique,0.049429657794676805,0.0009505703422053232
Stanford,démographique,0.05038022813688213,0.0009505703422053232
Stanford,démographique,0.05228136882129278,0.0019011406844106464
Stanford,démographique,0.0779467680608365,0.0019011406844106464
Stanford,démographique,0.08840304182509506,0.0028517110266159697
Stanford,démographique,0.0903041825095057,0.0028517110266159697
Stanford,démographique,0.09220532319391635,0.0028517110266159697
Stanford,démographique,0.094106463878327,0.0028517110266159697
Stanford,démographique,0.09600760456273764,0.0028517110266159697
Stanford,démographique,0.10836501901140684,0.0038022813688212928
Stanford,démographique,0.1397338403041825,0.005703422053231939
Stanford,démographique,0.14068441064638784,0.005703422053231939
Stanford,démographique,0.14258555133079848,0.005703422053231939
Stanford,démographique,0.1435361216730038,0.005703422053231939
Stanford,démographique,0.15019011406844107,0.005703422053231939
Stanford,démographique,0.21863117870722434,0.0076045627376425855
Stanford,démographique,0.23669201520912547,0.008555133079847909
Stanford,démographique,0.2376425855513308,0.008555133079847909
Stanford,démographique,0.23954372623574144,0.008555133079847909
Stanford,démographique,0.2423954372623574,0.008555133079847909
Stanford,démographique,0.24524714828897337,0.008555133079847909
Stanford,démographique,0.2509505703422053,0.008555133079847909
Stanford,démographique,0.25285171102661597,0.008555133079847909
Stanford,démographique,0.2946768060836502,0.009505703422053232
Stanford,démographique,0.35456273764258556,0.010456273764258554
Stanford,démographique,0.35551330798479086,0.010456273764258554
Stanford,démographique,0.3574144486692015,0.010456273764258554
Stanford,démographique,0.3583650190114068,0.010456273764258554
Stanford,démographique,0.3593155893536122,0.010456273764258554
Stanford,démographique,0.3659695817490494,0.011406844106463879
Stanford,démographique,0.3669201520912547,0.011406844106463879
Stanford,démographique,0.3688212927756654,0.011406844106463879
