item,n,C2,C3,C3F,humains vague 2,agents composite,agents entretien (v3),agents enquete,agents demographiques (v6),agents v7,agents v8,B0 mode,B0 tirage,B1 argmax,B2 argmax,famille
jew16*,150,0.733333,0.786667,,0.753333,0.720000,0.706667,0.813333,0.740000,0.726667,0.733333,0.733333,0.640000,0.740000,0.733333,hors famille
attend,150,0.213333,0.406667,,0.700000,0.553333,0.540000,0.493333,0.440000,0.400000,0.346667,0.446667,0.280000,0.420000,0.486667,hors famille
pray,150,0.146667,0.413333,,0.773333,0.566667,0.520000,0.473333,0.453333,0.280000,0.266667,0.340000,0.180000,0.320000,0.493333,hors famille
postlife,150,0.706667,0.466667,,0.940000,0.806667,0.826667,0.720000,0.653333,0.480000,0.606667,0.706667,0.560000,0.686667,0.680000,hors famille
bible,150,0.433333,0.406667,,0.866667,0.660000,0.666667,0.666667,0.606667,0.526667,0.506667,0.420000,0.280000,0.426667,0.586667,hors famille
reborn,150,0.406667,0.346667,,0.826667,0.680000,0.660000,0.646667,0.540000,0.460000,0.453333,0.393333,0.333333,0.500000,0.593333,hors famille
savesoul,150,0.666667,0.840000,,0.866667,0.806667,0.833333,0.773333,0.706667,0.706667,0.720000,0.666667,0.593333,0.713333,0.773333,hors famille
granborn,150,0.533333,0.553333,,0.766667,0.606667,0.566667,0.400000,0.480000,0.426667,0.480000,0.553333,0.433333,0.533333,0.533333,hors famille
uscitzn*,150,0.986667,0.986667,,1.000000,1.000000,1.000000,0.693333,0.986667,0.946667,0.946667,0.986667,0.986667,0.986667,0.986667,hors famille
fucitzn,150,0.240000,0.973333,,0.980000,0.986667,0.986667,0.673333,0.986667,0.933333,0.933333,0.973333,0.966667,0.966667,0.973333,hors famille
mnthsusa,150,0.986667,0.960000,,0.966667,0.860000,0.746667,0.906667,0.993333,0.753333,0.966667,0.986667,0.953333,0.986667,0.986667,hors famille
income,150,0.086667,0.093333,,0.573333,0.400000,0.366667,0.253333,0.986667,0.360000,0.413333,0.473333,0.266667,0.500000,0.473333,hors famille
othlang,150,0.426667,0.280000,,0.953333,0.846667,0.866667,0.773333,1.000000,0.720000,0.726667,0.740000,0.546667,0.806667,0.740000,hors famille
health,150,0.480000,0.526667,,0.846667,0.686667,0.600000,0.586667,0.506667,0.493333,0.473333,0.493333,0.366667,0.446667,0.520000,hors famille
compuse*,150,0.973333,0.960000,,0.946667,0.966667,0.966667,0.973333,0.960000,0.966667,0.973333,0.973333,0.946667,0.973333,0.973333,hors famille
webmob,150,0.960000,0.946667,,0.926667,0.953333,0.953333,0.933333,0.960000,0.933333,0.946667,0.960000,0.960000,0.960000,0.960000,hors famille
xmovie,150,0.600000,0.606667,,0.853333,0.653333,0.646667,0.606667,0.620000,0.606667,0.640000,0.606667,0.500000,0.700000,0.613333,hors famille
usewww*,150,0.986667,0.946667,,0.986667,0.986667,0.973333,0.966667,0.986667,0.966667,0.973333,0.986667,0.980000,0.986667,0.986667,hors famille
life,150,0.593333,0.620000,,0.786667,0.660000,0.633333,0.593333,0.613333,0.580000,0.580000,0.620000,0.486667,0.633333,0.626667,hors famille
richwork,150,0.580000,0.560000,,0.826667,0.673333,0.666667,0.546667,0.520000,0.586667,0.580000,0.560000,0.546667,0.633333,0.546667,hors famille
