condition_llm,definition_raretes,personnes,items,methode,regime_severe,conditionnement,exactitude,exactitude_ic_bas,exactitude_ic_haut,diversite_conservee,accord_par_paires,ratio_intra,ratio_inter,cellules_rares_stables,raretes_stables_osees,rappel_stables,rappel_stables_ic_bas,rappel_stables_ic_haut,precision_stables,precision_stables_ic_bas,precision_stables_ic_haut,f1_stables,plancher_segment,exces_segment_stables,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p,rappel_instables,rappel_ensemble,cellules_rares_ensemble
C3F Qwen3-4B,population,60,58,E1 famille retiree (argmax),oui,"149 moins la famille, et 11 demographies",0.691667,0.660345,0.720977,0.802749,0.618751,0.753654,1.614088,30,9,0.100000,0.000000,0.192339,0.333333,0.000000,0.583333,0.153846,0.079779,-0.036300,-0.093114,0.003786,0.086500,0.047619,0.064516,93
C3F Qwen3-4B,population,60,58,E2 famille retiree (tirage),oui,"149 moins la famille, et 11 demographies",0.621552,0.594828,0.646552,0.994562,0.526378,1.051509,0.523058,30,38,0.133333,0.034483,0.250000,0.105263,0.023256,0.218750,0.117647,0.079779,0.007178,-0.084312,0.126105,0.997000,0.174603,0.161290,93
C3F Qwen3-4B,population,60,58,PMM k=10 famille retiree,oui,"149 moins la famille, et 11 demographies",0.655460,0.625862,0.682184,0.980275,0.533528,0.971641,1.338112,30,33,0.133333,0.000000,0.270270,0.121212,0.000000,0.285714,0.126984,0.079779,0.050656,-0.093114,0.198099,0.729000,0.190476,0.172043,93
C3F Qwen3-4B,population,60,58,"IM m=10 mode, famille retiree",oui,"149 moins la famille, et 11 demographies",0.668103,0.640517,0.693678,0.854373,0.594078,0.845732,1.161692,30,15,0.100000,0.000000,0.192339,0.200000,0.000000,0.428571,0.133333,0.079779,-0.036300,-0.093114,0.003786,0.086500,0.063492,0.075269,93
C3F Qwen3-4B,population,60,58,B2 famille retiree (argmax),oui,149 moins la famille,0.682184,0.654878,0.709195,0.617042,0.707471,0.531299,1.842541,30,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079779,-0.079779,-0.111923,-0.033975,0.000250,0.015873,0.010753,93
C3F Qwen3-4B,population,60,58,B2 famille retiree (tirage),oui,149 moins la famille,0.600862,0.575287,0.624713,0.936985,0.559780,0.965859,0.633976,30,47,0.166667,0.055556,0.285714,0.106383,0.024390,0.200000,0.129870,0.079779,0.094135,-0.014822,0.250866,0.088000,0.095238,0.118280,93
C3F Qwen3-4B,population,60,58,humains vague 2,sans objet,la personne elle meme,0.777299,0.747126,0.804885,0.977101,0.537103,0.991983,0.970508,30,30,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.079779,0.920221,0.888077,0.966025,0.000250,0.000000,0.322581,93
C3F Qwen3-4B,population,60,58,B3 foret,"sans objet, aucun item vu",11 demographies,0.662356,0.634476,0.689368,0.480807,0.766180,0.326746,2.732049,30,4,0.033333,0.000000,0.130435,0.250000,0.000000,1.000000,0.058824,0.079779,-0.079779,-0.111923,-0.033975,0.000250,0.000000,0.010753,93
C3F Qwen3-4B,population,60,58,B0 mode,"sans objet, aucun item vu",rien,0.637644,0.610632,0.662644,0.015859,0.991233,0.020470,-0.003263,30,0,0.000000,0.000000,0.000000,,,,0.000000,0.079779,-0.079779,-0.111923,-0.033975,0.000250,0.000000,0.000000,93
C3F Qwen3-4B,population,60,58,B0 tirage,"sans objet, aucun item vu",rien,0.521552,0.501149,0.540805,1.001765,0.527411,1.098599,-0.113121,30,67,0.066667,0.000000,0.153846,0.029851,0.000000,0.076923,0.041237,0.079779,-0.036300,-0.098366,0.052254,0.390500,0.047619,0.053763,93
C3F Qwen3-4B,population,60,58,B1 argmax,"sans objet, aucun item vu",11 demographies,0.648563,0.619828,0.676149,0.711499,0.666959,0.556088,2.725143,30,15,0.066667,0.000000,0.166667,0.133333,0.000000,0.444444,0.088889,0.079779,0.007178,-0.093114,0.099234,0.966000,0.015873,0.032258,93
