variable,libelle,delai_mois,n_couples,n_menages,rho,ic_bas,ic_haut
infl1_var,"incertitude d'inflation, variance de la densite",11,5719,4827,0.35760436587860917,0.33607700505524046,0.382052847703574
infl1_point,prevision ponctuelle d'inflation a un an,1,67529,9089,0.6325737143556087,0.622999431257919,0.6405227749187108
infl1_point,prevision ponctuelle d'inflation a un an,2,59673,8428,0.5857548170293017,0.5733587752226752,0.5959785144295148
infl1_point,prevision ponctuelle d'inflation a un an,3,52541,7947,0.5422558407467869,0.529479924236844,0.5556029762319402
infl1_point,prevision ponctuelle d'inflation a un an,4,45460,7400,0.5117917464995488,0.49654976721254523,0.5251348919466762
infl1_point,prevision ponctuelle d'inflation a un an,5,38837,6952,0.48323921167712636,0.4707420129083766,0.4975182371789091
infl1_point,prevision ponctuelle d'inflation a un an,6,32574,6551,0.46159097633457546,0.44614468924555484,0.4767221363746274
infl1_point,prevision ponctuelle d'inflation a un an,7,26648,6182,0.42453835379435706,0.40879142561704945,0.4432102348615061
infl1_point,prevision ponctuelle d'inflation a un an,8,21028,5873,0.4024918750121031,0.3825312464855225,0.41876728501561705
infl1_point,prevision ponctuelle d'inflation a un an,9,15700,5609,0.3586652684752467,0.33681144356995046,0.377886866564123
infl1_point,prevision ponctuelle d'inflation a un an,10,10653,5347,0.3282557213878523,0.30451128743472644,0.35097224948352884
infl1_point,prevision ponctuelle d'inflation a un an,11,5881,4958,0.29217302620651175,0.2623018475092881,0.31912834084527064
