jeu,item,k,baseline,1-MAE,1-TV,spearman,KS
GSS,whoelse5,2,BAD item permute,0.5638805579628277,0.5638805579628277,-0.9999999999999999,
GSS,whoelse5,2,BAD camp inverse,0.13939485304129628,0.13939485304129628,-0.9999999999999999,
GSS,whoelse6,2,BAD item permute,0.7181937806058118,0.7181937806058118,-0.9999999999999999,
GSS,whoelse6,2,BAD camp inverse,0.7334941352681437,0.7334941352681437,-0.9999999999999999,
GSS,widowed,2,BAD item permute,0.9659499645893587,0.9659499645893587,0.9999999999999999,
GSS,widowed,2,BAD camp inverse,0.054997549435262805,0.054997549435262805,-0.9999999999999999,
GSS,wksub,2,BAD item permute,0.44283323083833315,0.44283323083833315,-0.9999999999999999,
GSS,wksub,2,BAD camp inverse,0.395448485199804,0.395448485199804,-0.9999999999999999,
GSS,wksubs,2,BAD item permute,0.6511509405086537,0.6511509405086537,-0.9999999999999999,
GSS,wksubs,2,BAD camp inverse,0.3997003822537173,0.3997003822537173,-0.9999999999999999,
GSS,wksup,2,BAD item permute,0.9393563680704692,0.9393563680704692,0.9999999999999999,
GSS,wksup,2,BAD camp inverse,0.7502302833118543,0.7502302833118543,-0.9999999999999999,
GSS,wksups,2,BAD item permute,0.9143277893277892,0.9143277893277892,0.9999999999999999,
GSS,wksups,2,BAD camp inverse,0.538892597608194,0.538892597608194,-0.9999999999999999,
GSS,worda,2,BAD item permute,0.7613162784034678,0.7613162784034678,0.9999999999999999,
GSS,worda,2,BAD camp inverse,0.3620264959819033,0.3620264959819033,-0.9999999999999999,
GSS,wordb,2,BAD item permute,0.9956959353563356,0.9956959353563356,0.9999999999999999,
GSS,wordb,2,BAD camp inverse,0.16698881788084274,0.16698881788084274,-0.9999999999999999,
GSS,wordc,2,BAD item permute,0.30069889341875355,0.30069889341875355,-0.9999999999999999,
GSS,wordc,2,BAD camp inverse,0.440317114500121,0.440317114500121,-0.9999999999999999,
GSS,wordd,2,BAD item permute,0.6346564539947965,0.6346564539947965,0.9999999999999999,
GSS,wordd,2,BAD camp inverse,0.0906226041113769,0.0906226041113769,-0.9999999999999999,
GSS,worde,2,BAD item permute,0.7454718881016459,0.7454718881016459,0.9999999999999999,
GSS,worde,2,BAD camp inverse,0.40195068383747623,0.40195068383747623,-0.9999999999999999,
GSS,wordf,2,BAD item permute,0.9024511694478012,0.9024511694478012,0.9999999999999999,
GSS,wordf,2,BAD camp inverse,0.3646719880692122,0.3646719880692122,-0.9999999999999999,
GSS,wordg,2,BAD item permute,0.44005372543475185,0.44005372543475185,-0.9999999999999999,
GSS,wordg,2,BAD camp inverse,0.687547676350756,0.687547676350756,-0.9999999999999999,
GSS,wordh,2,BAD item permute,0.6458182843801659,0.6458182843801659,-0.9999999999999999,
GSS,wordh,2,BAD camp inverse,0.7388933487182207,0.7388933487182207,-0.9999999999999999,
GSS,wordi,2,BAD item permute,0.4358947986881334,0.4358947986881334,-0.9999999999999999,
GSS,wordi,2,BAD camp inverse,0.4985083115708313,0.4985083115708313,-0.9999999999999999,
GSS,wordj,2,BAD item permute,0.6583286291934479,0.6583286291934479,-0.9999999999999999,
GSS,wordj,2,BAD camp inverse,0.512876043909577,0.512876043909577,-0.9999999999999999,
GSS,wrkgovt,2,BAD item permute,0.6470033588206656,0.6470033588206656,-0.9999999999999999,
GSS,wrkgovt,2,BAD camp inverse,0.3726099118131495,0.3726099118131495,-0.9999999999999999,
GSS,wrkslf,2,BAD item permute,0.9705579138872044,0.9705579138872044,0.9999999999999999,
GSS,wrkslf,2,BAD camp inverse,0.23604245864178686,0.23604245864178686,-0.9999999999999999,
GSS,xmovie,2,BAD item permute,0.9196468047997992,0.9196468047997992,0.9999999999999999,
GSS,xmovie,2,BAD camp inverse,0.49703476289693505,0.49703476289693505,-0.9999999999999999,
GSS,year,2,BAD item permute,0.8690064260998517,0.8690064260998517,0.9999999999999999,
GSS,year,2,BAD camp inverse,1.0,1.0,0.9999999999999999,
GSS,eqwlth,7,BAD item permute,0.9378455737918151,0.782459508271353,0.07142857142857144,
GSS,eqwlth,7,BAD camp inverse,0.9349528876134309,0.772335106647008,-0.4642857142857144,
GSS,famgen,7,BAD item permute,0.8155162691963249,0.3543069421871372,0.3243374865704013,
GSS,famgen,7,BAD camp inverse,0.7272298121504848,0.04530434252669646,-0.6666937223947136,
GSS,hivtest2,7,BAD item permute,0.8177965147271922,0.3622878015451726,-0.5714285714285715,
GSS,hivtest2,7,BAD camp inverse,0.8368967246026875,0.4291385361094062,0.3214285714285715,
