perimetre,axe,condition,mesure_x,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation,ratio_intra_median,ratio_intra_moyen,p_holm,p_bh
150,age,agents enquete,information mutuelle normalisee,-0.001864,-0.175000,0.170771,146,0.982102,0.894598,0.921868,,
150,age,agents entretien (v3),part expliquee Gini Simpson,0.189801,0.040435,0.332055,146,0.022598,0.923227,0.831202,,
150,age,agents entretien (v3),information mutuelle normalisee,0.155683,-0.013297,0.317013,146,0.062794,0.923227,0.831202,,
150,age,agents v7,part expliquee Gini Simpson,0.213682,0.040411,0.365888,146,0.010599,0.600487,0.601922,,
150,age,agents v7,information mutuelle normalisee,0.252451,0.068012,0.419016,146,0.002600,0.600487,0.601922,,
150,age,agents v8,part expliquee Gini Simpson,-0.112211,-0.278463,0.063062,146,0.178782,0.865741,0.765216,,
150,age,agents v8,information mutuelle normalisee,-0.080468,-0.251229,0.086365,146,0.336066,0.865741,0.765216,,
150,age,humains vague 2,part expliquee Gini Simpson,0.304557,0.147810,0.452958,146,0.000300,0.994166,1.005839,,
150,age,humains vague 2,information mutuelle normalisee,0.300924,0.125702,0.454811,146,0.000400,0.994166,1.005839,,
150,education,B0 mode,part expliquee Gini Simpson,0.014480,-0.127748,0.162166,146,0.858814,0.000000,0.031826,,
150,education,B0 mode,information mutuelle normalisee,0.012065,-0.128410,0.145682,146,0.890811,0.000000,0.031826,,
150,education,B0 tirage,part expliquee Gini Simpson,0.338257,0.170881,0.495102,146,0.000100,1.004901,0.990625,,
150,education,B0 tirage,information mutuelle normalisee,0.284720,0.111062,0.449169,146,0.000400,1.004901,0.990625,,
150,education,B1 argmax,part expliquee Gini Simpson,0.150162,-0.011615,0.316344,146,0.069593,0.709599,0.637278,,
150,education,B1 argmax,information mutuelle normalisee,-0.030066,-0.200147,0.140191,146,0.722828,0.709599,0.637278,,
150,education,B2 argmax,part expliquee Gini Simpson,0.102478,-0.065783,0.274977,146,0.218978,0.622570,0.541944,,
150,education,B2 argmax,information mutuelle normalisee,-0.063665,-0.234071,0.102716,146,0.457254,0.622570,0.541944,,
150,education,B3 foret,part expliquee Gini Simpson,0.120097,-0.048906,0.275333,146,0.146585,0.464652,0.423855,,
150,education,B3 foret,information mutuelle normalisee,-0.064505,-0.222427,0.093263,146,0.440656,0.464652,0.423855,,
150,education,C2,part expliquee Gini Simpson,-0.045593,-0.226870,0.125024,146,0.588141,0.733141,0.700488,,
150,education,C2,information mutuelle normalisee,0.078825,-0.100051,0.244163,146,0.338666,0.733141,0.700488,,
150,education,C3,part expliquee Gini Simpson,0.080582,-0.087160,0.250530,146,0.339166,0.765662,0.706316,,
150,education,C3,information mutuelle normalisee,0.114977,-0.043744,0.277712,146,0.167383,0.765662,0.706316,,
150,education,agents composite,part expliquee Gini Simpson,0.146235,-0.024932,0.306498,146,0.081092,0.947691,0.913867,,
150,education,agents composite,information mutuelle normalisee,0.108835,-0.054464,0.270829,146,0.187781,0.947691,0.913867,,
150,education,agents demographiques (v6),part expliquee Gini Simpson,0.199786,0.012909,0.355618,146,0.014799,0.629377,0.572907,,
150,education,agents demographiques (v6),information mutuelle normalisee,0.143002,-0.045322,0.314508,146,0.084192,0.629377,0.572907,,
150,education,agents enquete,part expliquee Gini Simpson,-0.004055,-0.181626,0.168225,146,0.961004,0.890176,0.918121,,
150,education,agents enquete,information mutuelle normalisee,-0.014019,-0.189436,0.153297,146,0.861514,0.890176,0.918121,,
150,education,agents entretien (v3),part expliquee Gini Simpson,0.169721,-0.012691,0.336684,146,0.041296,0.920784,0.829379,,
150,education,agents entretien (v3),information mutuelle normalisee,0.113029,-0.055758,0.278351,146,0.181182,0.920784,0.829379,,
150,education,agents v7,part expliquee Gini Simpson,0.191075,0.026164,0.358106,146,0.021798,0.585342,0.600432,,
150,education,agents v7,information mutuelle normalisee,0.186533,0.015978,0.348688,146,0.022298,0.585342,0.600432,,
150,education,agents v8,part expliquee Gini Simpson,-0.112367,-0.280412,0.060200,146,0.176682,0.899117,0.811755,,
150,education,agents v8,information mutuelle normalisee,-0.076579,-0.249439,0.105711,146,0.358964,0.899117,0.811755,,
150,education,humains vague 2,part expliquee Gini Simpson,0.206075,0.030324,0.378193,146,0.012099,0.999523,1.006351,,
150,education,humains vague 2,information mutuelle normalisee,0.239072,0.066506,0.405838,146,0.003500,0.999523,1.006351,,
150,gender,B0 mode,part expliquee Gini Simpson,0.122964,-0.055129,0.280761,146,0.147085,0.000000,0.031566,,
150,gender,B0 mode,information mutuelle normalisee,0.114922,-0.060011,0.258698,146,0.171283,0.000000,0.031566,,
150,gender,B0 tirage,part expliquee Gini Simpson,0.169004,0.001569,0.319570,146,0.040596,1.006611,0.990182,,
150,gender,B0 tirage,information mutuelle normalisee,0.068939,-0.088551,0.234189,146,0.412759,1.006611,0.990182,,
150,gender,B1 argmax,part expliquee Gini Simpson,0.204501,0.045301,0.350712,146,0.011699,0.736839,0.650689,,
150,gender,B1 argmax,information mutuelle normalisee,0.099136,-0.066740,0.258538,146,0.234577,0.736839,0.650689,,
150,gender,B2 argmax,part expliquee Gini Simpson,-0.018849,-0.172132,0.147691,146,0.821518,0.620346,0.543391,,
150,gender,B2 argmax,information mutuelle normalisee,-0.099241,-0.265987,0.058932,146,0.228777,0.620346,0.543391,,
150,gender,B3 foret,part expliquee Gini Simpson,0.134708,-0.026735,0.288160,146,0.109789,0.451087,0.434745,,
150,gender,B3 foret,information mutuelle normalisee,0.037588,-0.119193,0.192655,146,0.655234,0.451087,0.434745,,
150,gender,C2,part expliquee Gini Simpson,0.166576,0.009007,0.320080,146,0.044896,0.746584,0.731406,,
150,gender,C2,information mutuelle normalisee,0.162765,0.010868,0.313207,146,0.049795,0.746584,0.731406,,
150,gender,C3,part expliquee Gini Simpson,-0.074230,-0.240567,0.091230,146,0.375462,0.768648,0.707232,,
150,gender,C3,information mutuelle normalisee,-0.090494,-0.256658,0.083628,146,0.282672,0.768648,0.707232,,
