bloc,mecanisme,epsilon,rho_zcdp,sigma_bruit,reference,stat,replicat,graine,n,grandeur,erreur_distribution,erreur_groupes,erreur_correlations,moyenne_trois,valeur,bas,haut
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,5,"[20260913, crc32(eps=1), 5]",2058,trois composantes d'utilite (points),2.193877551020409,2.7712989158667356,4.490844085614901,3.1520068508340153,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,5,"[20260913, crc32(eps=1), 5]",2058,trois composantes d'utilite (points),3.784013605442177,2.7461139265870425,9.81711170599111,5.449079746006777,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,6,"[20260913, crc32(eps=1), 6]",2058,trois composantes d'utilite (points),1.6581632653061218,2.266633225617143,4.51067963979438,2.8118253769058814,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,6,"[20260913, crc32(eps=1), 6]",2058,trois composantes d'utilite (points),3.6564625850340122,2.241090050720367,9.791979252482937,5.229843962745772,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,7,"[20260913, crc32(eps=1), 7]",2058,trois composantes d'utilite (points),1.4698736637512144,2.4750412824212265,4.4679111368935995,2.8042753610220132,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,7,"[20260913, crc32(eps=1), 7]",2058,trois composantes d'utilite (points),3.728134110787172,2.5302480972939465,9.76324909870128,5.340543768927467,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,8,"[20260913, crc32(eps=1), 8]",2058,trois composantes d'utilite (points),1.8015063168124394,2.55802587801754,4.602255824545754,2.9872626731252443,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,8,"[20260913, crc32(eps=1), 8]",2058,trois composantes d'utilite (points),3.6273080660835766,2.424097231911603,9.879433468954641,5.310279588983273,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,9,"[20260913, crc32(eps=1), 9]",2058,trois composantes d'utilite (points),1.9436345966958213,2.5825840286592534,4.613954369272189,3.0467243315424213,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,9,"[20260913, crc32(eps=1), 9]",2058,trois composantes d'utilite (points),3.5386297376093276,3.0031970721371946,9.964301968536244,5.502042926094255,,,
resume,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",moyenne,10 replicats,"[20260913, crc32(eps=1), 0..9]",2058,trois composantes d'utilite (points),1.8599368318756078,2.678037456396077,4.5496801645773886,3.029218150949691,,,
resume,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",ecart_type,10 replicats,"[20260913, crc32(eps=1), 0..9]",2058,trois composantes d'utilite (points),0.23296213978565172,0.340929612423747,0.06782111188258637,0.16990201570812122,,,
resume,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",min,10 replicats,"[20260913, crc32(eps=1), 0..9]",2058,trois composantes d'utilite (points),1.4698736637512144,2.1567177343754333,4.4679111368935995,2.8042753610220132,,,
resume,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",max,10 replicats,"[20260913, crc32(eps=1), 0..9]",2058,trois composantes d'utilite (points),2.193877551020409,3.3087592464356135,4.683799557199341,3.3021728626653952,,,
resume,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",moyenne,10 replicats,"[20260913, crc32(eps=1), 0..9]",2058,trois composantes d'utilite (points),3.7785471331389693,2.6422278273973454,9.855001413280513,5.425258791272276,,,
resume,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",ecart_type,10 replicats,"[20260913, crc32(eps=1), 0..9]",2058,trois composantes d'utilite (points),0.18130034073562643,0.32259765715570776,0.07325352668270829,0.131209658020854,,,
resume,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",min,10 replicats,"[20260913, crc32(eps=1), 0..9]",2058,trois composantes d'utilite (points),3.5386297376093276,2.144329982215353,9.76324909870128,5.229843962745772,,,
resume,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",max,10 replicats,"[20260913, crc32(eps=1), 0..9]",2058,trois composantes d'utilite (points),4.013605442176869,3.1383126508327024,9.978052779469186,5.6274016425564355,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,0,"[20260913, crc32(eps=3), 0]",2058,trois composantes d'utilite (points),1.0677842565597677,2.5534990943513294,4.591326294219964,2.7375365483770207,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,0,"[20260913, crc32(eps=3), 0]",2058,trois composantes d'utilite (points),3.3430515063168134,3.034555487955519,9.953093277925198,5.443566757399178,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,1,"[20260913, crc32(eps=3), 1]",2058,trois composantes d'utilite (points),1.1661807580174928,2.37861239308736,4.629534354973898,2.7247758353595835,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,1,"[20260913, crc32(eps=3), 1]",2058,trois composantes d'utilite (points),3.378279883381923,2.2719591834610133,9.99588272912303,5.215373931988656,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,2,"[20260913, crc32(eps=3), 2]",2058,trois composantes d'utilite (points),1.2342079689018455,1.957378820749109,4.506074965333181,2.5658872516613784,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,2,"[20260913, crc32(eps=3), 2]",2058,trois composantes d'utilite (points),3.2640913508260443,2.390439378291572,9.875896191598416,5.176808973572011,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,3,"[20260913, crc32(eps=3), 3]",2058,trois composantes d'utilite (points),0.9220116618075803,2.954168286755791,4.609993852970359,2.828724600511243,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,3,"[20260913, crc32(eps=3), 3]",2058,trois composantes d'utilite (points),3.0587949465500484,2.5119871816659396,9.955963115620833,5.175581747945607,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,4,"[20260913, crc32(eps=3), 4]",2058,trois composantes d'utilite (points),0.8539844509232267,2.3008106044673293,4.637384423138407,2.597393159509654,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,4,"[20260913, crc32(eps=3), 4]",2058,trois composantes d'utilite (points),3.04178814382896,2.517912790919962,9.993141590234798,5.18428084166124,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,5,"[20260913, crc32(eps=3), 5]",2058,trois composantes d'utilite (points),1.0787172011661808,2.735933111692047,4.562517332556074,2.7923892151381007,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,5,"[20260913, crc32(eps=3), 5]",2058,trois composantes d'utilite (points),3.2543731778425657,2.5335642091139228,9.968662975373336,5.252200120776608,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,6,"[20260913, crc32(eps=3), 6]",2058,trois composantes d'utilite (points),0.9973275024295427,2.875454560355085,4.57473822495538,2.8158400959133356,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,6,"[20260913, crc32(eps=3), 6]",2058,trois composantes d'utilite (points),3.360058309037902,2.6201519097676695,9.90883658212834,5.296348933644637,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,7,"[20260913, crc32(eps=3), 7]",2058,trois composantes d'utilite (points),1.0337706511175904,2.7317471334658516,4.561647095224839,2.7757216266027602,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,7,"[20260913, crc32(eps=3), 7]",2058,trois composantes d'utilite (points),3.4499514091350827,2.42778976063486,9.922472731143692,5.2667379669712115,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,8,"[20260913, crc32(eps=3), 8]",2058,trois composantes d'utilite (points),0.9050048590864928,3.139980988660824,4.725064301730858,2.9233500498260576,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,8,"[20260913, crc32(eps=3), 8]",2058,trois composantes d'utilite (points),3.284742468415938,2.6380912080062475,10.053768716746411,5.325534131056199,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"jumeau (apparie, objet protege par D4)",valeur,9,"[20260913, crc32(eps=3), 9]",2058,trois composantes d'utilite (points),1.1285228377065113,2.728826358407317,4.5672286179811925,2.80819260469834,,,
replicat,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"humains v4 (desapparie, temoin F3)",valeur,9,"[20260913, crc32(eps=3), 9]",2058,trois composantes d'utilite (points),3.199708454810496,3.0470176284698365,9.951738181050803,5.399488088110378,,,
