condition,perimetre,item,n_observes,taux_accord
agents entretien (v3),1052,satfin,1052,0.6634980988593155
agents entretien (v3),1052,finalter,1052,0.6283269961977186
agents entretien (v3),1052,finrela,1052,0.5313688212927756
agents entretien (v3),1052,racdif1,1052,0.8051330798479087
agents entretien (v3),1052,racdif2,1052,0.9315589353612167
agents entretien (v3),1052,racdif3,1052,0.7062737642585551
agents entretien (v3),1052,racdif4,1052,0.7442965779467681
agents entretien (v3),1052,wlthwhts,1052,0.32604562737642584
agents entretien (v3),1052,wlthblks,1052,0.15114068441064638
agents entretien (v3),1052,wlthhsps,1052,0.3127376425855513
agents entretien (v3),1052,racwork,1052,0.6216730038022814
agents entretien (v3),1052,letin1a,1052,0.4876425855513308
agents entretien (v3),1052,getahead,1052,0.5846007604562737
agents entretien (v3),1052,aged,1052,0.5313688212927756
agents entretien (v3),1052,parsol,1052,0.3612167300380228
agents entretien (v3),1052,kidssol,1052,0.44106463878326996
agents entretien (v3),1052,spanking,1052,0.3925855513307985
agents entretien (v3),1052,divlaw,1052,0.4847908745247148
agents entretien (v3),1052,sexeduc,1052,0.782319391634981
agents entretien (v3),1052,pillok,1052,0.44011406844106465
agents entretien (v3),1052,xmarsex,1052,0.5532319391634981
agents entretien (v3),1052,homosex,1052,0.6758555133079848
agents entretien (v3),1052,marhomo,1052,0.5256653992395437
agents entretien (v3),1052,discaff,1052,0.5636882129277566
agents entretien (v3),1052,abdefect,1052,0.8346007604562737
agents entretien (v3),1052,abnomore,1052,0.8022813688212928
agents entretien (v3),1052,abhlth,1052,0.9182509505703422
agents entretien (v3),1052,abpoor,1052,0.8250950570342205
agents entretien (v3),1052,abrape,1052,0.9011406844106464
agents entretien (v3),1052,absingle,1052,0.7899239543726235
agents entretien (v3),1052,abany,1052,0.7899239543726235
agents entretien (v3),1052,letdie1,1052,0.7376425855513308
agents entretien (v3),1052,suicide1,1052,0.7889733840304183
agents entretien (v3),1052,suicide2,1052,0.7461977186311787
agents entretien (v3),1052,suicide3,1052,0.7480988593155894
agents entretien (v3),1052,suicide4,1052,0.6625475285171103
agents entretien (v3),1052,pornlaw,1052,0.7024714828897338
agents entretien (v3),1052,fair,1052,0.42585551330798477
agents entretien (v3),1052,helpful,1052,0.42395437262357416
agents entretien (v3),1052,trust,1052,0.467680608365019
agents entretien (v3),1052,tax,1052,0.5836501901140685
agents entretien (v3),1052,vote16,1052,0.841254752851711
agents entretien (v3),1052,pres16,1052,0.7699619771863118
agents entretien (v3),1052,if16who,1052,0.8079847908745247
agents entretien (v3),1052,news,1052,0.311787072243346
agents entretien (v3),1052,jew,1052,0.720532319391635
agents entretien (v3),1052,relig16*,1052,0.6178707224334601
agents entretien (v3),1052,jew16*,1052,0.7519011406844106
agents entretien (v3),1052,attend,1052,0.5579847908745247
agents entretien (v3),1052,pray,1052,0.5009505703422054
agents entretien (v3),1052,postlife,1052,0.814638783269962
agents entretien (v3),1052,bible,1052,0.655893536121673
agents entretien (v3),1052,reborn,1052,0.6749049429657795
agents entretien (v3),1052,savesoul,1052,0.8203422053231939
agents entretien (v3),1052,granborn,1052,0.623574144486692
agents entretien (v3),1052,uscitzn*,1052,1.0
agents entretien (v3),1052,fucitzn,1052,0.9933460076045627
agents entretien (v3),1052,mnthsusa,1052,0.7671102661596958
agents entretien (v3),1052,income,1052,0.41539923954372626
agents entretien (v3),1052,othlang,1052,0.8498098859315589
agents entretien (v3),1052,health,1052,0.6007604562737643
agents entretien (v3),1052,compuse*,1052,0.9695817490494296
agents entretien (v3),1052,webmob,1052,0.9762357414448669
agents entretien (v3),1052,xmovie,1052,0.658745247148289
agents entretien (v3),1052,usewww*,1052,0.9819391634980988
agents entretien (v3),1052,life,1052,0.6112167300380228
agents entretien (v3),1052,richwork,1052,0.6625475285171103
agents enquete,1052,natspac/y,1052,0.3821292775665399
agents enquete,1052,natenvir/y,1052,0.6967680608365019
agents enquete,1052,natheal/y,1052,0.7357414448669202
agents enquete,1052,natcity/y,1052,0.4667300380228137
agents enquete,1052,natdrug/y,1052,0.6140684410646388
agents enquete,1052,nateduc/y,1052,0.7062737642585551
agents enquete,1052,natrace/y,1052,0.6311787072243346
agents enquete,1052,natarms/y,1052,0.5418250950570342
agents enquete,1052,nataid/y,1052,0.5741444866920152
agents enquete,1052,natfare/y,1052,0.6730038022813688
agents enquete,1052,natroad,1052,0.5161596958174905
agents enquete,1052,natsoc,1052,0.5437262357414449
agents enquete,1052,natmass,1052,0.5209125475285171
agents enquete,1052,natpark,1052,0.5209125475285171
agents enquete,1052,natchld,1052,0.6359315589353612
agents enquete,1052,natsci,1052,0.5503802281368821
agents enquete,1052,natenrgy,1052,0.5979087452471483
agents enquete,1052,uswary,1052,0.4990494296577947
agents enquete,1052,prayer,1052,0.7547528517110266
agents enquete,1052,courts,1052,0.4847908745247148
agents enquete,1052,discaffw,1052,0.4629277566539924
agents enquete,1052,discaffm,1052,0.3935361216730038
agents enquete,1052,fehire,1052,0.2908745247148289
agents enquete,1052,fechld,1052,0.43250950570342206
agents enquete,1052,fepresch,1052,0.43250950570342206
agents enquete,1052,fefam,1052,0.44011406844106465
agents enquete,1052,fepol,1052,0.7927756653992395
agents enquete,1052,mobile16,1052,0.3155893536121673
agents enquete,1052,incom16,1052,0.46387832699619774
agents enquete,1052,dwelown16,1052,0.6730038022813688
agents enquete,1052,divorced,1052,0.8574144486692015
agents enquete,1052,posslq/y,1052,0.7718631178707225
agents enquete,1052,wrkstat,1052,0.5922053231939164
agents enquete,1052,evwork,1052,0.9220532319391636
agents enquete,1052,wrkgovt1,1052,0.8393536121673004
agents enquete,1052,wrkgovt2,1052,0.6977186311787072
agents enquete,1052,partfull,1052,0.7690114068441065
agents enquete,1052,wksub1,1052,0.7623574144486692
agents enquete,1052,wksup1,1052,0.7452471482889734
agents enquete,1052,conarmy,1052,0.526615969581749
agents enquete,1052,conbus,1052,0.6625475285171103
agents enquete,1052,conclerg,1052,0.6321292775665399
agents enquete,1052,coneduc,1052,0.6140684410646388
agents enquete,1052,confed,1052,0.49334600760456276
agents enquete,1052,confinan,1052,0.5598859315589354
agents enquete,1052,conjudge,1052,0.49619771863117873
agents enquete,1052,conlabor,1052,0.5551330798479087
agents enquete,1052,conlegis,1052,0.594106463878327
agents enquete,1052,conmedic,1052,0.5826996197718631
agents enquete,1052,conpress,1052,0.626425855513308
