perimetre,condition,item,sd_pred,sd_humain,ratio,n
1052,B2 argmax,divlaw,0.274914,0.346243,0.793993,1052
1052,B2 argmax,pillok,0.297039,0.344219,0.862935,1052
1052,B2 argmax,xmarsex,0.231955,0.295117,0.785975,1052
1052,B2 argmax,homosex,0.381589,0.417111,0.914837,1052
1052,B2 argmax,marhomo,0.339003,0.358765,0.944918,1052
1052,B2 argmax,discaff,0.268187,0.350148,0.765924,1052
1052,B2 argmax,pornlaw,0.123840,0.264989,0.467341,1052
1052,B2 argmax,fair,0.301522,0.389860,0.773410,1052
1052,B2 argmax,helpful,0.332813,0.395581,0.841327,1052
1052,B2 argmax,trust,0.299012,0.378430,0.790136,1052
1052,B2 argmax,tax,0.239448,0.270704,0.884538,1052
1052,B2 argmax,news,0.306597,0.369203,0.830431,1052
1052,B2 argmax,attend,0.266990,0.324211,0.823507,1052
1052,B2 argmax,pray,0.431178,0.401413,1.074151,1052
1052,B2 argmax,bible,0.361082,0.374709,0.963632,1052
1052,B2 argmax,granborn,0.169194,0.413156,0.409516,1052
1052,B2 argmax,income,0.016793,0.303977,0.055245,1052
1052,B2 argmax,health,0.107450,0.247506,0.434132,1052
1052,B2 argmax,life,0.123002,0.291455,0.422028,1052
1052,B3 foret,natspac/y,0.084470,0.339938,0.248486,1052
1052,B3 foret,natenvir/y,0.244744,0.345116,0.709164,1052
1052,B3 foret,natheal/y,0.021791,0.293896,0.074144,1052
1052,B3 foret,natcity/y,0.224733,0.359880,0.624466,1052
1052,B3 foret,natdrug/y,0.126311,0.325348,0.388232,1052
1052,B3 foret,nateduc/y,0.064990,0.315379,0.206071,1052
1052,B3 foret,natrace/y,0.369189,0.385579,0.957491,1052
