modele,cle_modele,identite,camp,item,famille,n_modalites,tv_decrit_reel,tv_plancher_w1_w2,part_modale_reelle,modalite_modale_reelle,part_decrite_de_cette_modalite,part_modale_decrite,gs_decrit,gs_reel_w1,pos_decrit,pos_reel_w1,derive_agregee,exces_de_variete,deficit_sur_la_modale
gpt-oss-20b,oss20,adversaire,gauche,natfare/y,depenses publiques (nat*),3,0.6821342925659473,0.014388489208633146,0.8321342925659473,Too little,0.15,0.5,0.605,0.28507841209047136,0.675,0.09352517985611505,-0.30846,0.3199215879095286,-0.6821342925659473
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,gauche,spjew,hors famille,5,0.6817745803357316,0.011990407673860878,0.7817745803357314,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.1,0.35,0.7582,0.3590451379903271,,,,0.3991548620096729,-0.6817745803357315
gpt-oss-20b,oss20,adversaire,centre,attend,hors famille,9,0.6783828382838284,0.0495049504950495,0.5016501650165016,Never,0.05,0.25,0.8373999999999999,0.6971865503382022,,,,0.14021344966179772,-0.4516501650165016
gpt-oss-20b,oss20,adversaire,droite,jew,hors famille,5,0.6783132530120483,0.006024096385542202,0.641566265060241,Inapplicable (not Jewish),0.0,0.7,0.4750000000000001,0.5322434315575556,,,,-0.05724343155755551,-0.641566265060241
Qwen3-4B-Instruct-2507,q4,journaliste,droite,joblose,hors famille,5,0.6783132530120481,0.03915662650602417,0.4367469879518072,Inapplicable (I am currently not employed),0.05,0.4,0.715,0.6388626796341995,,,,0.07613732036580045,-0.38674698795180723
Qwen3-4B-Instruct-2507,q4,adversaire,droite,joblose,hors famille,5,0.6783132530120481,0.03915662650602417,0.4367469879518072,Inapplicable (I am currently not employed),0.05,0.4,0.715,0.6388626796341995,,,,0.07613732036580045,-0.38674698795180723
gpt-oss-20b,oss20,adversaire,droite,polattak/y,hors famille,2,0.6608433734939758,0.036144578313253045,0.7108433734939759,Yes,0.05,0.95,0.09500000000000008,0.41109014370735963,0.05,0.7108433734939759,0.169202,-0.31609014370735955,-0.6608433734939758
gpt-oss-20b,oss20,journaliste,droite,nataid/y,depenses publiques (nat*),3,0.6584337349397591,0.018072289156626453,0.858433734939759,Too much,0.2,0.45,0.635,0.2487117143271882,0.42500000000000004,0.9171686746987951,0.317966,0.3862882856728118,-0.6584337349397591
Qwen3-4B-Instruct-2507,q4,adversaire,droite,spjew,hors famille,5,0.6542168674698796,0.03313253012048185,0.6174698795180723,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.1,0.45,0.685,0.5500072579474524,,,,0.13499274205254763,-0.5174698795180723
gpt-oss-20b,oss20,journaliste,droite,polhitok/y,hors famille,2,0.6540963855421686,0.01807228915662651,0.7740963855421686,Yes,0.12,0.88,0.21120000000000005,0.3497423428654377,0.12,0.7740963855421686,0.156844,-0.13854234286543765,-0.6540963855421686
gpt-oss-20b,oss20,adversaire,droite,polhitok/y,hors famille,2,0.6540963855421686,0.01807228915662651,0.7740963855421686,Yes,0.12,0.88,0.21120000000000005,0.3497423428654377,0.12,0.7740963855421686,0.156844,-0.13854234286543765,-0.6540963855421686
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,centre,jew,hors famille,5,0.6534653465346534,0.08580858085808578,0.6534653465346535,Inapplicable (not Jewish),0.0,0.4,0.7032,0.5021729895761853,,,,0.20102701042381477,-0.6534653465346535
gpt-oss-20b,oss20,adversaire,gauche,nateduc/y,depenses publiques (nat*),3,0.6509592326139089,0.023980815347721802,0.8009592326139089,Too little,0.15,0.5,0.605,0.32864643536968974,0.675,0.11390887290167856,-0.309411,0.27635356463031024,-0.6509592326139089
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,droite,jew16*,hors famille,5,0.6487951807228917,0.01807228915662649,0.6987951807228916,Inapplicable (not raised as a Jew),0.05,0.4,0.7282,0.4750870953694295,,,,0.25311290463057046,-0.6487951807228916
