retrait,condition,metrique,moyenne_groupe,moyenne_temoin,n_groupe,n_temoin,difference,ic_items_bas,ic_items_haut,p_permutation
attend,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.029595,0.206549,0.074293
attend,B0 tirage,distance,0.039798,0.045479,11,65,-0.005681,-0.021532,0.011538,0.591241
attend,B0 tirage,ratio_entropie,0.970347,0.982040,11,65,-0.011693,-0.061344,0.040529,0.724728
attend,B1 argmax,distance,0.107172,0.104308,11,65,0.002864,-0.034853,0.052305,0.869213
attend,B1 argmax,ratio_entropie,0.696891,0.689480,11,65,0.007411,-0.175021,0.161131,0.930307
attend,B2 argmax,distance,0.149596,0.135744,11,65,0.013852,-0.040527,0.077499,0.591841
attend,B2 argmax,ratio_entropie,0.573897,0.564591,11,65,0.009307,-0.185917,0.192135,0.918108
attend,B3 foret,distance,0.151414,0.158846,11,65,-0.007432,-0.059521,0.052103,0.773323
attend,B3 foret,ratio_entropie,0.551241,0.455807,11,65,0.095434,-0.095833,0.278017,0.344766
attend,C2,distance,0.257778,0.210103,11,65,0.047675,-0.043958,0.148366,0.350265
attend,C2,ratio_entropie,0.829259,0.653068,11,65,0.176191,-0.193805,0.700733,0.220678
attend,C3,distance,0.269596,0.210308,11,65,0.059288,-0.035070,0.167370,0.282872
attend,C3,ratio_entropie,0.859777,0.693007,11,65,0.166770,-0.144010,0.613709,0.246575
attend,agents composite,distance,0.137523,0.074561,11,65,0.062962,0.007251,0.129525,0.005699
attend,agents composite,ratio_entropie,0.939694,0.918357,11,65,0.021338,-0.208741,0.317408,0.755624
attend,agents demographiques (v6),distance,0.209546,0.151278,11,65,0.058269,-0.010872,0.134275,0.085391
attend,agents demographiques (v6),ratio_entropie,0.423649,0.594463,11,65,-0.170813,-0.371918,0.033609,0.106689
attend,agents enquete,distance,0.150808,0.094807,11,65,0.056001,0.004162,0.119717,0.011499
attend,agents enquete,ratio_entropie,0.643287,0.886792,11,65,-0.243505,-0.419957,-0.093523,0.003500
attend,agents entretien (v3),distance,0.176882,0.091066,11,65,0.085817,0.021173,0.160779,0.001100
attend,agents entretien (v3),ratio_entropie,0.595525,0.884885,11,65,-0.289360,-0.526568,-0.054062,0.001700
attend,agents v7,distance,0.207336,0.165317,11,65,0.042019,-0.027805,0.116510,0.161784
attend,agents v7,ratio_entropie,0.464227,0.607700,11,65,-0.143472,-0.315811,0.026259,0.095990
attend,agents v8,distance,0.186663,0.117462,11,65,0.069201,-0.002031,0.150192,0.024498
attend,agents v8,ratio_entropie,0.532781,0.819892,11,65,-0.287111,-0.529880,-0.041534,0.010199
attend,humains vague 2,distance,0.021919,0.026735,11,65,-0.004816,-0.014706,0.006926,0.417758
attend,humains vague 2,ratio_entropie,0.974689,1.003578,11,65,-0.028890,-0.057263,-0.001312,0.185481
coneduc,B0 mode,distance,0.267172,0.284026,11,65,-0.016854,-0.086045,0.051934,0.704530
coneduc,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.029595,0.206862,0.069193
coneduc,B0 tirage,distance,0.036995,0.045479,11,65,-0.008484,-0.024241,0.009298,0.417158
coneduc,B0 tirage,ratio_entropie,0.975132,0.982040,11,65,-0.006908,-0.054651,0.043608,0.833717
coneduc,B1 argmax,distance,0.110884,0.104308,11,65,0.006576,-0.033964,0.056828,0.706129
coneduc,B1 argmax,ratio_entropie,0.687335,0.689480,11,65,-0.002144,-0.190979,0.158784,0.976802
coneduc,B2 argmax,distance,0.146641,0.135744,11,65,0.010898,-0.043216,0.075241,0.675332
coneduc,B2 argmax,ratio_entropie,0.570889,0.564591,11,65,0.006299,-0.191682,0.186323,0.947405
coneduc,B3 foret,distance,0.156869,0.158846,11,65,-0.001977,-0.056320,0.060099,0.936406
coneduc,B3 foret,ratio_entropie,0.535331,0.455807,11,65,0.079524,-0.126163,0.272785,0.436756
coneduc,C2,distance,0.249217,0.210103,11,65,0.039115,-0.055959,0.143535,0.437456
coneduc,C2,ratio_entropie,0.879458,0.653068,11,65,0.226390,-0.127267,0.721700,0.120388
coneduc,C3,distance,0.266793,0.210308,11,65,0.056485,-0.041509,0.163830,0.310869
coneduc,C3,ratio_entropie,0.848181,0.693007,11,65,0.155174,-0.157897,0.601180,0.284072
coneduc,agents composite,distance,0.125932,0.074561,11,65,0.051371,-0.003546,0.119249,0.020198
coneduc,agents composite,ratio_entropie,0.976298,0.918357,11,65,0.057942,-0.151763,0.341125,0.386261
coneduc,agents demographiques (v6),distance,0.193564,0.151278,11,65,0.042286,-0.031988,0.124083,0.215778
coneduc,agents demographiques (v6),ratio_entropie,0.484265,0.594463,11,65,-0.110198,-0.302412,0.081771,0.292571
coneduc,agents enquete,distance,0.139747,0.094807,11,65,0.044940,-0.005443,0.110694,0.036496
coneduc,agents enquete,ratio_entropie,0.689577,0.886792,11,65,-0.197215,-0.367600,-0.067073,0.015598
coneduc,agents entretien (v3),distance,0.166428,0.091066,11,65,0.075362,0.005980,0.154208,0.004400
coneduc,agents entretien (v3),ratio_entropie,0.615359,0.884885,11,65,-0.269526,-0.512637,-0.041819,0.003300
coneduc,agents v7,distance,0.203786,0.165317,11,65,0.038468,-0.029127,0.114521,0.202980
coneduc,agents v7,ratio_entropie,0.488045,0.607700,11,65,-0.119655,-0.290899,0.041583,0.157184
coneduc,agents v8,distance,0.179087,0.117462,11,65,0.061625,-0.010831,0.144690,0.048295
coneduc,agents v8,ratio_entropie,0.555693,0.819892,11,65,-0.264199,-0.517367,-0.021658,0.017398
coneduc,humains vague 2,distance,0.022904,0.026735,11,65,-0.003831,-0.013760,0.007623,0.513549
coneduc,humains vague 2,ratio_entropie,0.977362,1.003578,11,65,-0.026217,-0.056350,0.003069,0.237076
conlegis,B0 mode,distance,0.260808,0.284026,11,65,-0.023218,-0.093541,0.045673,0.599340
conlegis,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.029595,0.209038,0.065393
conlegis,B0 tirage,distance,0.039419,0.045479,11,65,-0.006059,-0.021981,0.011355,0.563744
conlegis,B0 tirage,ratio_entropie,0.970972,0.982040,11,65,-0.011069,-0.061087,0.041530,0.727727
conlegis,B1 argmax,distance,0.115429,0.104308,11,65,0.011122,-0.030310,0.060431,0.523448
conlegis,B1 argmax,ratio_entropie,0.663616,0.689480,11,65,-0.025864,-0.217713,0.142137,0.756224
conlegis,B2 argmax,distance,0.155126,0.135744,11,65,0.019383,-0.034218,0.081218,0.458254
conlegis,B2 argmax,ratio_entropie,0.541091,0.564591,11,65,-0.023500,-0.220398,0.163733,0.801420
conlegis,B3 foret,distance,0.167475,0.158846,11,65,0.008629,-0.045896,0.068854,0.734827
conlegis,B3 foret,ratio_entropie,0.485702,0.455807,11,65,0.029894,-0.174945,0.230706,0.772923
conlegis,C2,distance,0.256187,0.210103,11,65,0.046084,-0.045756,0.146470,0.363664
conlegis,C2,ratio_entropie,0.832690,0.653068,11,65,0.179622,-0.194899,0.693466,0.212779
conlegis,C3,distance,0.268308,0.210308,11,65,0.058000,-0.039662,0.168296,0.287571
conlegis,C3,ratio_entropie,0.842784,0.693007,11,65,0.149778,-0.165066,0.600623,0.306169
conlegis,agents composite,distance,0.126538,0.074561,11,65,0.051977,-0.003186,0.121629,0.021698
conlegis,agents composite,ratio_entropie,0.956416,0.918357,11,65,0.038059,-0.195357,0.341109,0.577242
conlegis,agents demographiques (v6),distance,0.198713,0.151278,11,65,0.047436,-0.028045,0.128820,0.173383
conlegis,agents demographiques (v6),ratio_entropie,0.432587,0.594463,11,65,-0.161876,-0.371351,0.043549,0.128187
conlegis,agents enquete,distance,0.144293,0.094807,11,65,0.049486,-0.003067,0.113787,0.022698
conlegis,agents enquete,ratio_entropie,0.654966,0.886792,11,65,-0.231826,-0.411644,-0.081648,0.004900
conlegis,agents entretien (v3),distance,0.160367,0.091066,11,65,0.069302,0.002463,0.148412,0.007799
conlegis,agents entretien (v3),ratio_entropie,0.618530,0.884885,11,65,-0.266355,-0.501741,-0.037154,0.003200
conlegis,agents v7,distance,0.208331,0.165317,11,65,0.043014,-0.026720,0.117930,0.157284
conlegis,agents v7,ratio_entropie,0.452023,0.607700,11,65,-0.155677,-0.327104,0.011500,0.072793
conlegis,agents v8,distance,0.178481,0.117462,11,65,0.061019,-0.011871,0.144019,0.050095
conlegis,agents v8,ratio_entropie,0.538168,0.819892,11,65,-0.281725,-0.529234,-0.034866,0.012399
conlegis,humains vague 2,distance,0.022298,0.026735,11,65,-0.004437,-0.014369,0.007318,0.459154
conlegis,humains vague 2,ratio_entropie,0.983275,1.003578,11,65,-0.020303,-0.050438,0.009778,0.363564
conmedic,B0 mode,distance,0.271414,0.284026,11,65,-0.012611,-0.081827,0.055496,0.771523
conmedic,B0 mode,ratio_entropie,0.043662,0.018466,11,65,0.025195,-0.040723,0.123648,0.889411
conmedic,B0 tirage,distance,0.037298,0.045479,11,65,-0.008181,-0.023701,0.009698,0.429657
conmedic,B0 tirage,ratio_entropie,0.956672,0.982040,11,65,-0.025368,-0.071324,0.025553,0.435356
conmedic,B1 argmax,distance,0.118763,0.104308,11,65,0.014455,-0.026210,0.063723,0.417458
conmedic,B1 argmax,ratio_entropie,0.658025,0.689480,11,65,-0.031455,-0.210663,0.134915,0.707329
conmedic,B2 argmax,distance,0.155732,0.135744,11,65,0.019989,-0.033067,0.080199,0.445555
