source,camp,mode,lecture,statistique,taux_total,valeur_moyenne,reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,courbe_a,courbe_b,courbe_r2
C2,droite,uniforme,global,B,0.02,0.0425591514802678,0.0421897808968637,0.001524859107359,0.24223259816038997,0.8085999373726357,0.0,10,0.08435000000000001,0.018496049460220768,0.4746157521701459,0.9989318290920978
C2,droite,uniforme,global,B,0.05,0.044422976642567856,0.0421897808968637,0.001524859107359,1.4645259584486932,0.14305029575340114,0.0,10,0.08435000000000001,0.018496049460220768,0.4746157521701459,0.9989318290920978
C2,droite,uniforme,global,B,0.1,0.04876269575978703,0.0421897808968637,0.001524859107359,4.310506348555294,1.6288115238828734e-05,1.0,10,0.08435000000000001,0.018496049460220768,0.4746157521701459,0.9989318290920978
C2,droite,uniforme,global,C,0.02,0.027818441064638787,0.0272338403041825,0.0009241516858999,0.6325809597880311,0.5270073241054822,0.0,10,0.0413,0.008753043961208408,1.5418571367539624,0.9997851855012153
C2,droite,uniforme,global,C,0.05,0.03165874524714828,0.0272338403041825,0.0009241516858999,4.788072142785733,1.6839111873739916e-06,1.0,10,0.0413,0.008753043961208408,1.5418571367539624,0.9997851855012153
C2,droite,uniforme,global,C,0.1,0.04350285171102662,0.0272338403041825,0.0009241516858999,17.60426524678364,2.2845299478658616e-69,1.0,10,0.0413,0.008753043961208408,1.5418571367539624,0.9997851855012153
C2,droite,uniforme,camp,A,0.02,-0.04417071209628916,-0.04240789140881873,0.005220668890779636,-0.3376618445547832,0.7356180312346654,0.0,10,0.0753,-0.0852527442420831,-1.8500175831334005,0.9991877456525773
C2,droite,uniforme,camp,A,0.05,-0.05173220696635612,-0.04240789140881873,0.005220668890779636,-1.7860384852227107,0.07409302705046468,0.2,10,0.0753,-0.0852527442420831,-1.8500175831334005,0.9991877456525773
C2,droite,uniforme,camp,A,0.1,-0.06935147271668608,-0.04240789140881873,0.005220668890779636,-5.16094429115264,2.457072958038852e-07,1.0,10,0.0753,-0.0852527442420831,-1.8500175831334005,0.9991877456525773
C2,droite,uniforme,camp,B,0.02,0.03659862159351756,0.03606690150542229,0.001803978879310672,0.29474851074666963,0.7681860022648261,0.0,10,0.07845,0.03561556953663494,0.4951883965043094,0.9975287583594098
C2,droite,uniforme,camp,B,0.05,0.03932799763670787,0.03606690150542229,0.001803978879310672,1.8077241195482803,0.0706494487350346,0.2,10,0.07845,0.03561556953663494,0.4951883965043094,0.9975287583594098
C2,droite,uniforme,camp,B,0.1,0.04453490242478018,0.03606690150542229,0.001803978879310672,4.694068770136399,2.678239315149326e-06,1.0,10,0.07845,0.03561556953663494,0.4951883965043094,0.9975287583594098
C2,droite,uniforme,camp,C,0.02,0.025677710843373495,0.025753012048192775,0.0014427410880173514,-0.05219315194160035,0.9583747894571265,0.0,10,0.07165,-0.005454007039393629,0.9865811560850151,0.9979833888282564
C2,droite,uniforme,camp,C,0.05,0.028177710843373494,0.025753012048192775,0.0014427410880173514,1.680619492519477,0.09283684715844112,0.2,10,0.07165,-0.005454007039393629,0.9865811560850151,0.9979833888282564
C2,droite,uniforme,camp,C,0.1,0.03503012048192771,0.025753012048192775,0.0014427410880173514,6.4301963192049625,1.2743924373789183e-10,1.0,10,0.07165,-0.005454007039393629,0.9865811560850151,0.9979833888282564
C2,gauche,concentre,global,A,0.02,-0.07236244847632169,-0.068442386630964,0.0042774784373516,-0.9164422223913757,0.3594349984439475,0.0,10,0.04745,-0.12595470755244656,-3.502419235771894,1.0
C2,gauche,concentre,global,A,0.05,-0.08349617009801606,-0.068442386630964,0.0042774784373516,-3.519312531326894,0.00043266669368865535,1.0,10,0.04745,-0.12595470755244656,-3.502419235771894,1.0
C2,gauche,concentre,global,B,0.02,0.04229500574071178,0.0421897808968637,0.001524859107359,0.06900627299943024,0.9449846262731214,0.0,10,0.0766,-0.015649053200844188,1.0455147696624165,1.0
