statistique,source_evaluee,calibration,source_calibration,taux_vrai,taux_estime_median,erreur_absolue_mediane,erreur_quadratique_moyenne,n_tirages
A,agents demographiques (v6),croisee,C3,0.25,0.1572,0.0928,0.09364484435888608,20
A,agents demographiques (v6),croisee,C3,0.5,0.23455,0.26544999999999996,0.2665765542016026,20
A,agents demographiques (v6),croisee,E2 regression contexte tirage,0.05,0.0,0.05,0.05000000000000001,20
A,agents demographiques (v6),croisee,E2 regression contexte tirage,0.1,0.0,0.1,0.10000000000000002,20
A,agents demographiques (v6),croisee,E2 regression contexte tirage,0.25,0.0,0.25,0.25,20
A,agents demographiques (v6),croisee,E2 regression contexte tirage,0.5,0.0,0.5,0.5,20
A,agents demographiques (v6),croisee,IM m=10 mode des m,0.05,0.0812,0.0312,0.037095309676561536,20
A,agents demographiques (v6),croisee,IM m=10 mode des m,0.1,0.198825,0.098825,0.09783857368134513,20
A,agents demographiques (v6),croisee,IM m=10 mode des m,0.25,0.649125,0.399125,0.3990987914977944,20
A,agents demographiques (v6),croisee,IM m=10 mode des m,0.5,1.0,0.5,0.5,20
A,agents demographiques (v6),croisee,PMM k=10,0.05,0.181025,0.131025,0.1420642143539322,20
A,agents demographiques (v6),croisee,PMM k=10,0.1,0.4998,0.39980000000000004,0.3982888038220508,20
A,agents demographiques (v6),croisee,PMM k=10,0.25,1.0,0.75,0.75,20
A,agents demographiques (v6),croisee,PMM k=10,0.5,1.0,0.5,0.5,20
A,agents demographiques (v6),croisee,agents composite,0.05,0.07865,0.028650000000000002,0.033612438173985536,20
A,agents demographiques (v6),croisee,agents composite,0.1,0.17412500000000003,0.07412500000000001,0.07293680312434869,20
A,agents demographiques (v6),croisee,agents composite,0.25,0.41932500000000006,0.16932500000000003,0.16844594088312134,20
A,agents demographiques (v6),croisee,agents composite,0.5,0.7138,0.2138,0.2106909347836304,20
A,agents demographiques (v6),croisee,agents v8,0.05,0.0196,0.030400000000000003,0.03016042108459363,20
