condition,axe_transport,variante,axe_mesure,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_global,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee
agents composite,profil croise,naive,political_ideology,gini_simpson,1.4139,1.3414,1.4853,0.8832,0.8760,0.8897,0.9096,0.6700,0.6663,0.6738,-0.0139,-0.0148,-0.0130,0.8935,0.5385,0.0296
agents composite,profil croise,naive,profil croise,entropie,1.0848,1.0397,1.1289,0.8823,0.8764,0.8887,0.8936,0.6700,0.6663,0.6738,-0.0139,-0.0148,-0.0130,0.8935,0.5385,0.0296
agents composite,profil croise,naive,profil croise,gini_simpson,1.1931,1.1375,1.2497,0.8934,0.8868,0.8998,0.9096,0.6700,0.6663,0.6738,-0.0139,-0.0148,-0.0130,0.8935,0.5385,0.0296
agents composite,profil croise,naive,_tous_axes,entropie,1.1583,1.1197,1.1937,0.8871,0.8822,0.8919,0.8936,0.6700,0.6663,0.6738,-0.0139,-0.0148,-0.0130,0.8935,0.5385,0.0296
agents composite,profil croise,naive,_tous_axes,gini_simpson,1.2310,1.1883,1.2787,0.9017,0.8962,0.9068,0.9096,0.6700,0.6663,0.6738,-0.0139,-0.0148,-0.0130,0.8935,0.5385,0.0296
agents composite,profil croise,informee,political_ideology,entropie,1.4620,1.3810,1.5487,0.8659,0.8580,0.8736,0.8936,0.6768,0.6727,0.6809,-0.0072,-0.0082,-0.0062,0.8935,0.5385,0.0296
agents composite,profil croise,informee,political_ideology,gini_simpson,1.5368,1.4464,1.6288,0.8767,0.8679,0.8852,0.9096,0.6768,0.6727,0.6809,-0.0072,-0.0082,-0.0062,0.8935,0.5385,0.0296
agents composite,profil croise,informee,profil croise,entropie,1.0848,1.0172,1.1533,0.8823,0.8745,0.8901,0.8936,0.6768,0.6727,0.6809,-0.0072,-0.0082,-0.0062,0.8935,0.5385,0.0296
agents composite,profil croise,informee,profil croise,gini_simpson,1.1931,1.1088,1.2736,0.8934,0.8848,0.9024,0.9096,0.6768,0.6727,0.6809,-0.0072,-0.0082,-0.0062,0.8935,0.5385,0.0296
agents composite,profil croise,informee,_tous_axes,entropie,1.2253,1.1705,1.2781,0.8855,0.8801,0.8908,0.8936,0.6768,0.6727,0.6809,-0.0072,-0.0082,-0.0062,0.8935,0.5385,0.0296
agents composite,profil croise,informee,_tous_axes,gini_simpson,1.3012,1.2378,1.3640,0.9000,0.8936,0.9059,0.9096,0.6768,0.6727,0.6809,-0.0072,-0.0082,-0.0062,0.8935,0.5385,0.0296
agents enquete,political_ideology,naive,political_ideology,entropie,1.0962,1.0415,1.1477,0.8462,0.8400,0.8528,0.8578,0.6349,0.6313,0.6384,-0.0161,-0.0172,-0.0150,0.8577,0.5545,0.0416
agents enquete,political_ideology,naive,political_ideology,gini_simpson,1.1808,1.1215,1.2404,0.8621,0.8556,0.8694,0.8780,0.6349,0.6313,0.6384,-0.0161,-0.0172,-0.0150,0.8577,0.5545,0.0416
agents enquete,political_ideology,naive,profil croise,entropie,1.0438,1.0033,1.0862,0.8469,0.8406,0.8531,0.8578,0.6349,0.6313,0.6384,-0.0161,-0.0172,-0.0150,0.8577,0.5545,0.0416
agents enquete,political_ideology,naive,profil croise,gini_simpson,1.1304,1.0793,1.1785,0.8636,0.8565,0.8708,0.8780,0.6349,0.6313,0.6384,-0.0161,-0.0172,-0.0150,0.8577,0.5545,0.0416
