volet,jeu,condition,attaque,mesure,valeur,ic_bas,ic_haut,axes,n_pool,n_items_contexte,note,n_axes,n_cellules,plafond,attribut_retire,chute_points,modalites,n_attaques,n_items,hasard,fpr_cible,ecart_points,ecart_bas,ecart_haut,cible_top1,cible_ic_bas,cible_ic_haut,comparateur_top1,comparateur_ic_bas,comparateur_ic_haut,controle_interpretabilite_passe,cible_tpr,comparateur_tpr,comparateur_retenu,seuil_effondrement,seuil_tenue,k_items,n_tirages_items,temoin_aleatoire,n_modalites,attribut,park_bloc_complet,top1_comparateur
2 unicite,Park GSS,bloc complet fourni a l'agent (11),-,n_cellules_distinctes,1046.0,,,age+census_division+political_ideology+political_party+education+race+ethnicity+gender+income+neighborhood+sexual_orientation,1052.0,,,11.0,,,,,7x10x7x8x5x3x21x2x12x4x7,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Park GSS,bloc complet fourni a l'agent (11),-,n_personnes_seules_dans_leur_cellule,1040.0,,,age+census_division+political_ideology+political_party+education+race+ethnicity+gender+income+neighborhood+sexual_orientation,1052.0,,,11.0,,,,,7x10x7x8x5x3x21x2x12x4x7,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Park GSS,bloc complet fourni a l'agent (11),-,part_personnes_seules_dans_leur_cellule,0.9885931558935361,,,age+census_division+political_ideology+political_party+education+race+ethnicity+gender+income+neighborhood+sexual_orientation,1052.0,,,11.0,,,,,7x10x7x8x5x3x21x2x12x4x7,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Park GSS,bloc complet fourni a l'agent (11),-,plafond_cellule_seule_moyenne_un_sur_taille,0.9942965779467681,,,age+census_division+political_ideology+political_party+education+race+ethnicity+gender+income+neighborhood+sexual_orientation,1052.0,,,11.0,,,,,7x10x7x8x5x3x21x2x12x4x7,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Park GSS,bloc complet fourni a l'agent (11),-,taille_cellule_mediane,1.0,,,age+census_division+political_ideology+political_party+education+race+ethnicity+gender+income+neighborhood+sexual_orientation,1052.0,,,11.0,,,,,7x10x7x8x5x3x21x2x12x4x7,,,,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),top1_ferme_uniforme_PUBLIE,0.20694039520570132,0.19060293164885,0.22337301587301586,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),top1_ferme_borne_en_faveur,0.24101068999028183,0.22254616132167152,0.2594752186588921,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),top1_ferme_borne_contre,0.18318756073858114,0.16715257531584063,0.2001943634596696,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),classe_tete_taille_mediane,1.0,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),auc_monde_ouvert,0.14939164614894967,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_0_1pct_np_interp,0.00928862973760933,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_0_1pct_tpr_escalier,0.00923226433430515,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_0_1pct_fpr_atteint,0.0009718172983479105,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_0_1pct_fp_absolus,2.0,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_0_1pct_vraies_detections_absolues,19.0,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_0_1pct_granularite_un_fp,0.00048590864917395527,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_1pct_np_interp,0.030408163265306123,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.01,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_1pct_tpr_escalier,0.029640427599611274,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.01,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_1pct_fpr_atteint,0.00923226433430515,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.01,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_1pct_fp_absolus,19.0,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.01,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_1pct_vraies_detections_absolues,61.0,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.01,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,naif (Hamming),tpr_a_fpr_1pct_granularite_un_fp,0.00048590864917395527,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.01,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),top1_ferme_uniforme_PUBLIE,0.23226433430515064,0.21379980563654033,0.250242954324587,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),top1_ferme_borne_en_faveur,0.23226433430515064,0.21331389698736639,0.2521865889212828,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),top1_ferme_borne_contre,0.23226433430515064,0.21428571428571427,0.24927113702623907,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),classe_tete_taille_mediane,1.0,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),auc_monde_ouvert,0.1769042755238983,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),tpr_a_fpr_0_1pct_np_interp,0.010112730806608359,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),tpr_a_fpr_0_1pct_tpr_escalier,0.012633624878522837,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),tpr_a_fpr_0_1pct_fpr_atteint,0.0009718172983479105,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),tpr_a_fpr_0_1pct_fp_absolus,2.0,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),tpr_a_fpr_0_1pct_vraies_detections_absolues,26.0,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),tpr_a_fpr_0_1pct_granularite_un_fp,0.00048590864917395527,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.001,,,,,,,,,,,,,,,,,,,,,,
4 armement egal,Twin,cible : JSON Persona - GPT4.1,A-LLR (hors pli),tpr_a_fpr_1pct_np_interp,0.042759961127308066,,,,2058.0,,,,,,,,,2058.0,60.0,0.00048590864917395527,0.01,,,,,,,,,,,,,,,,,,,,,,
